Time;ax;ay;az;wx;wy;wz;AngleX;AngleY;AngleZ;T 
920.082;-0.6548;-0.0259;1.0117;0.0000;0.9766;-0.7324;-0.1593;0.5548;-60.7764;35.0700 
920.082;-0.6548;-0.0259;1.0117;0.0000;0.9766;-0.7324;-0.1648;0.6537;-60.7654;34.9600 
920.082;-0.6548;-0.0259;1.0117;0.0000;0.9766;-0.7324;-0.1703;0.7526;-60.7654;34.9600 
920.082;-0.6548;-0.0259;1.0117;0.0000;0.9766;-0.7324;-0.1758;0.8514;-60.7599;35.0100 
920.082;-0.6548;-0.0259;1.0117;0.0000;0.9766;-0.7324;-0.1813;0.9503;-60.7544;35.0100 
920.082;-0.6548;-0.0259;1.0117;0.0000;0.9766;-0.7324;-0.1868;1.0547;-60.7489;35.0100 
920.082;-0.6548;-0.0259;1.0117;0.0000;0.9766;-0.7324;-0.1923;1.1536;-60.7489;35.0700 
920.082;-1.2856;-0.0547;0.9849;-0.3052;3.1738;-2.3804;-0.2142;1.3129;-60.7324;35.0700 
920.092;-1.2856;-0.0547;0.9849;-0.3052;3.1738;-2.3804;-0.2307;1.4777;-60.7159;35.0800 
920.092;-1.2856;-0.0547;0.9849;-0.3052;3.1738;-2.3804;-0.2527;1.6425;-60.7050;35.0800 
920.092;-1.2856;-0.0547;0.9849;-0.3052;3.1738;-2.3804;-0.2747;1.8018;-60.6940;35.0000 
920.092;-1.2856;-0.0547;0.9849;-0.3052;3.1738;-2.3804;-0.2911;1.9666;-60.6775;35.0000 
920.092;-1.2856;-0.0547;0.9849;-0.3052;3.1738;-2.3804;-0.3131;2.1259;-60.6610;34.9900 
920.092;-1.2856;-0.0547;0.9849;-0.3052;3.1738;-2.3804;-0.3351;2.2906;-60.6500;34.9900 
920.092;-1.2856;-0.0547;0.9849;-0.3052;3.1738;-2.3804;-0.3571;2.4500;-60.6335;35.0200 
920.092;-1.9033;-0.1338;0.9268;-1.2207;5.1270;-5.0659;-0.4065;2.6477;-60.6116;35.0200 
920.092;-1.9033;-0.1338;0.9268;-1.2207;5.1270;-5.0659;-0.4559;2.8400;-60.5841;35.0300 
920.092;-1.9033;-0.1338;0.9268;-1.2207;5.1270;-5.0659;-0.5054;3.0377;-60.5621;35.0300 
920.092;-1.9033;-0.1338;0.9268;-1.2207;5.1270;-5.0659;-0.5493;3.2300;-60.5402;35.0700 
920.092;-1.9033;-0.1338;0.9268;-1.2207;5.1270;-5.0659;-0.5988;3.4277;-60.5182;35.0700 
920.092;-1.9033;-0.1338;0.9268;-1.2207;5.1270;-5.0659;-0.6482;3.6200;-60.4962;35.0800 
920.092;-1.9033;-0.1338;0.9268;-1.2207;5.1270;-5.0659;-0.6976;3.8123;-60.4742;35.0800 
920.102;-1.9033;-0.1338;0.9268;-1.2207;5.1270;-5.0659;-0.7471;4.0045;-60.4523;35.0800 
920.102;-2.2842;-0.2144;0.8828;-2.5635;5.4321;-8.4229;-0.8185;4.2078;-60.4358;35.0200 
920.102;-2.2842;-0.2144;0.8828;-2.5635;5.4321;-8.4229;-0.8899;4.4110;-60.4193;35.0200 
920.102;-2.2842;-0.2144;0.8828;-2.5635;5.4321;-8.4229;-0.9613;4.6143;-60.4028;35.0100 
