Time;ax;ay;az;wx;wy;wz;AngleX;AngleY;AngleZ;T 
1640.787;0.0059;0.0156;0.9927;0.0000;-0.0610;0.0000;0.8569;-0.3625;-48.6804;34.7300 
1640.787;0.0063;0.0156;0.9932;0.0000;-0.0610;0.0000;0.8569;-0.3625;-48.6804;34.7300 
1640.787;0.0063;0.0156;0.9932;0.0000;-0.0610;0.0000;0.8569;-0.3625;-48.6804;34.7800 
1640.787;0.0063;0.0156;0.9932;0.0000;-0.0610;0.0000;0.8569;-0.3625;-48.6804;34.7800 
1640.787;0.0063;0.0156;0.9932;0.0000;-0.0610;0.0000;0.8569;-0.3680;-48.6804;34.7800 
1640.787;0.0063;0.0156;0.9932;0.0000;-0.0610;0.0000;0.8569;-0.3680;-48.6749;34.7800 
1640.787;0.0063;0.0156;0.9932;0.0000;-0.0610;0.0000;0.8569;-0.3680;-48.6749;34.8200 
1640.787;0.0063;0.0156;0.9932;0.0000;-0.0610;0.0000;0.8569;-0.3680;-48.6749;34.8200 
1640.787;0.0063;0.0156;0.9932;0.0000;-0.0610;0.0000;0.8569;-0.3680;-48.6749;34.7700 
1640.787;0.0063;0.0181;0.9922;0.0000;-0.0610;0.0000;0.8624;-0.3680;-48.6749;34.7700 
1640.787;0.0063;0.0181;0.9922;0.0000;-0.0610;0.0000;0.8624;-0.3680;-48.6749;34.7500 
1640.787;0.0063;0.0181;0.9922;0.0000;-0.0610;0.0000;0.8624;-0.3680;-48.6749;34.7500 
1640.787;0.0063;0.0181;0.9922;0.0000;-0.0610;0.0000;0.8624;-0.3680;-48.6749;34.7600 
1640.787;0.0063;0.0181;0.9922;0.0000;-0.0610;0.0000;0.8624;-0.3680;-48.6749;34.7600 
1640.787;0.0063;0.0181;0.9922;0.0000;-0.0610;0.0000;0.8624;-0.3680;-48.6749;34.7600 
1640.787;0.0063;0.0181;0.9922;0.0000;-0.0610;0.0000;0.8624;-0.3680;-48.6749;34.7700 
1640.787;0.0063;0.0181;0.9922;0.0000;-0.0610;0.0000;0.8624;-0.3680;-48.6749;34.7700 
1640.787;0.0054;0.0151;0.9922;-0.0610;-0.0610;0.0610;0.8624;-0.3680;-48.6749;34.8200 
1640.787;0.0054;0.0151;0.9922;-0.0610;-0.0610;0.0610;0.8624;-0.3680;-48.6749;34.8200 
1640.787;0.0054;0.0151;0.9922;-0.0610;-0.0610;0.0610;0.8624;-0.3680;-48.6749;34.7500 
1640.787;0.0054;0.0151;0.9922;-0.0610;-0.0610;0.0610;0.8624;-0.3680;-48.6749;34.7500 
1640.817;0.0054;0.0151;0.9922;-0.0610;-0.0610;0.0610;0.8624;-0.3680;-48.6804;34.7600 
1640.817;0.0054;0.0151;0.9922;-0.0610;-0.0610;0.0610;0.8624;-0.3680;-48.6804;34.7600 
1640.927;0.0054;0.0151;0.9922;-0.0610;-0.0610;0.0610;0.8624;-0.3680;-48.6804;34.7600 
1640.927;0.0054;0.0151;0.9922;-0.0610;-0.0610;0.0610;0.8624;-0.3680;-48.6804;34.7600 
1640.937;0.0059;0.0127;0.9922;-0.1221;-0.0610;0.0610;0.8624;-0.3680;-48.6804;34.7400 
1640.937;0.0059;0.0127;0.9922;-0.1221;-0.0610;0.0610;0.8624;-0.3680;-48.6804;34.7400 
