Time;ax;ay;az;wx;wy;wz;AngleX;AngleY;AngleZ;T 
828.819;0.0024;-0.0029;0.9932;0.0000;0.0000;0.0000;-0.1044;-0.0989;-60.2930;35.0000 
828.819;0.0029;-0.0024;0.9932;0.0000;0.0000;0.0000;-0.1044;-0.0989;-60.2985;35.1000 
828.819;0.0029;-0.0024;0.9932;0.0000;0.0000;0.0000;-0.1044;-0.0989;-60.2985;35.1000 
828.819;0.0029;-0.0024;0.9932;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2985;35.1000 
828.819;0.0029;-0.0024;0.9932;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2985;35.0700 
828.819;0.0029;-0.0024;0.9932;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2930;35.0700 
828.819;0.0029;-0.0024;0.9932;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2930;35.0700 
828.819;0.0029;-0.0024;0.9932;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2930;35.0700 
828.819;0.0029;-0.0024;0.9932;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2930;35.0400 
828.819;0.0024;-0.0015;0.9927;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2875;35.0400 
828.819;0.0024;-0.0015;0.9927;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2875;35.0900 
828.819;0.0024;-0.0015;0.9927;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2875;35.0900 
828.819;0.0024;-0.0015;0.9927;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2820;35.0300 
828.819;0.0024;-0.0015;0.9927;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2820;35.0300 
828.819;0.0024;-0.0015;0.9927;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2765;35.1400 
828.819;0.0024;-0.0015;0.9927;0.0000;0.0000;0.0000;-0.1044;-0.1044;-60.2765;35.1400 
