Time;ax;ay;az;wx;wy;wz;AngleX;AngleY;AngleZ;T 
1810.384;0.0063;0.0137;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.8700 
1810.384;0.0063;0.0137;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.9200 
1810.384;0.0054;0.0127;0.9922;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.9200 
1810.384;0.0054;0.0127;0.9922;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.9100 
1810.384;0.0054;0.0127;0.9922;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.9100 
1810.384;0.0054;0.0127;0.9922;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.8700 
1810.384;0.0054;0.0127;0.9922;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.8700 
1810.384;0.0054;0.0127;0.9922;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.8100 
1810.384;0.0054;0.0127;0.9922;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.8100 
1810.384;0.0054;0.0127;0.9922;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.8200 
1810.384;0.0063;0.0151;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.8200 
1810.384;0.0063;0.0151;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.9300 
1810.384;0.0063;0.0151;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.9300 
1810.384;0.0063;0.0151;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.9000 
1810.404;0.0063;0.0151;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.9000 
1810.404;0.0063;0.0151;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3351;-48.7244;34.9000 
1810.404;0.0063;0.0151;0.9927;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7244;34.8100 
1810.404;0.0063;0.0151;0.9927;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7244;34.8100 
1810.404;0.0059;0.0151;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7244;34.8700 
1810.404;0.0059;0.0151;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.8700 
1810.414;0.0059;0.0151;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.8200 
1810.414;0.0059;0.0151;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.8200 
1810.434;0.0059;0.0151;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.8900 
1810.434;0.0059;0.0151;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.8900 
1810.444;0.0059;0.0151;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.8600 
1810.444;0.0059;0.0151;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7244;34.8600 
1810.444;0.0059;0.0132;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7244;34.8800 
1810.444;0.0059;0.0132;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7244;34.8800 
1810.464;0.0059;0.0132;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.9300 
1810.464;0.0059;0.0132;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.9300 
1810.474;0.0059;0.0132;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.8800 
1810.474;0.0059;0.0132;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.8800 
1810.474;0.0059;0.0132;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.8800 
1810.564;0.0059;0.0132;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.9100 
1810.564;0.0054;0.0122;0.9917;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.9100 
1810.574;0.0054;0.0122;0.9917;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.9100 
1810.574;0.0054;0.0122;0.9917;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7299;34.9100 
1810.574;0.0054;0.0122;0.9917;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7354;34.9300 
1810.574;0.0054;0.0122;0.9917;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7354;34.9300 
1810.574;0.0054;0.0122;0.9917;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7354;34.9200 
1810.574;0.0054;0.0122;0.9917;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7354;34.9200 
1810.574;0.0054;0.0122;0.9917;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7354;34.9000 
1810.574;0.0039;0.0117;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7354;34.9000 
1810.574;0.0039;0.0117;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7354;34.8400 
1810.574;0.0039;0.0117;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7408;34.8400 
1810.574;0.0039;0.0117;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7408;34.8700 
1810.574;0.0039;0.0117;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7408;34.8700 
1810.574;0.0039;0.0117;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7408;34.8700 
1810.574;0.0039;0.0117;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7408;34.8600 
1810.574;0.0039;0.0117;0.9922;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7463;34.8600 
1810.574;0.0049;0.0171;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3351;-48.7463;34.9100 
1810.584;0.0049;0.0171;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7463;34.9100 
1810.584;0.0049;0.0171;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7463;34.8900 
1810.594;0.0049;0.0171;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7463;34.8900 
1810.594;0.0049;0.0171;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7463;34.9100 
1810.594;0.0049;0.0171;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7518;34.9100 
1810.594;0.0049;0.0171;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7518;34.8100 
1810.604;0.0049;0.0171;0.9902;0.0000;0.0000;0.0000;0.7690;-0.3296;-48.7518;34.8100 
1810.614;0.0059;0.0132;0.9927;0.0000;0.0000;0.0000;0.7690;-0.3296;-48.7518;34.9000 
1810.614;0.0059;0.0132;0.9927;0.0000;0.0000;0.0000;0.7690;-0.3296;-48.7463;34.9000 
1810.624;0.0059;0.0132;0.9927;0.0000;0.0000;0.0000;0.7690;-0.3296;-48.7463;34.8700 
1810.624;0.0059;0.0132;0.9927;0.0000;0.0000;0.0000;0.7690;-0.3296;-48.7463;34.8700 
1810.634;0.0059;0.0132;0.9927;0.0000;0.0000;0.0000;0.7690;-0.3296;-48.7518;34.8800 
1810.634;0.0059;0.0132;0.9927;0.0000;0.0000;0.0000;0.7690;-0.3296;-48.7518;34.8800 
1810.634;0.0059;0.0132;0.9927;0.0000;0.0000;0.0000;0.7690;-0.3296;-48.7518;34.8800 
1810.634;0.0059;0.0132;0.9927;0.0000;0.0000;0.0000;0.7690;-0.3296;-48.7518;34.8400 
1810.644;0.0044;0.0122;0.9902;0.0000;0.0000;0.0000;0.7690;-0.3296;-48.7573;34.8400 
1810.644;0.0044;0.0122;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7573;34.8100 
1810.654;0.0044;0.0122;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7573;34.8100 
1810.654;0.0044;0.0122;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7573;34.8200 
1810.674;0.0044;0.0122;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7573;34.8200 
1810.674;0.0044;0.0122;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7628;34.8900 
1810.674;0.0044;0.0122;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7628;34.8900 
1810.674;0.0044;0.0122;0.9902;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7628;34.8600 
1810.774;0.0063;0.0112;0.9912;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7628;34.8600 
1810.774;0.0063;0.0112;0.9912;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7683;34.8800 
1810.794;0.0063;0.0112;0.9912;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7683;34.8800 
1810.794;0.0063;0.0112;0.9912;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7738;34.8500 
1810.794;0.0063;0.0112;0.9912;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7738;34.8500 
1810.794;0.0063;0.0112;0.9912;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7738;34.8900 
1810.794;0.0063;0.0112;0.9912;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7793;34.8900 
1810.794;0.0063;0.0112;0.9912;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7793;34.8900 
1810.794;0.0068;0.0063;0.9927;0.0000;0.0000;0.0000;0.7635;-0.3296;-48.7793;34.9500 
1810.794;0.0068;0.0063;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3296;-48.7793;34.9500 
1810.794;0.0068;0.0063;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3296;-48.7793;34.8800 
1810.794;0.0068;0.0063;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3296;-48.7793;34.8800 
1810.794;0.0068;0.0063;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3296;-48.7793;34.9200 
1810.794;0.0068;0.0063;0.9927;0.0000;0.0000;0.0000;0.7581;-0.3296;-48.7738;34.9200 
1810.794;0.0068;0.0063;0.9927;0.0000;0.0000;0.0000;0.7526;-0.3296;-48.7738;34.9400 
1810.794;0.0068;0.0063;0.9927;0.0000;0.0000;0.0000;0.7526;-0.3296;-48.7738;34.9400 
1810.794;0.0068;0.0078;0.9927;0.0610;0.0000;-0.2441;0.7526;-0.3296;-48.7738;34.8400 
1810.794;0.0068;0.0078;0.9927;0.0610;0.0000;-0.2441;0.7526;-0.3296;-48.7793;34.8400 
1810.794;0.0068;0.0078;0.9927;0.0610;0.0000;-0.2441;0.7526;-0.3296;-48.7793;34.8500 
1810.794;0.0068;0.0078;0.9927;0.0610;0.0000;-0.2441;0.7526;-0.3351;-48.7793;34.8500 
1810.794;0.0068;0.0078;0.9927;0.0610;0.0000;-0.2441;0.7526;-0.3351;-48.7848;34.9000 
1810.794;0.0068;0.0078;0.9927;0.0610;0.0000;-0.2441;0.7471;-0.3351;-48.7848;34.9000 
1810.794;0.0068;0.0078;0.9927;0.0610;0.0000;-0.2441;0.7471;-0.3351;-48.7848;34.8800 
1810.814;0.0068;0.0078;0.9927;0.0610;0.0000;-0.2441;0.7471;-0.3351;-48.7903;34.8800 
1810.814;0.0088;0.0156;0.9927;0.3052;0.0000;-0.1831;0.7526;-0.3351;-48.7903;34.8800 
