Time;ax;ay;az;wx;wy;wz;AngleX;AngleY;AngleZ;T 
1279.638;0.0034;0.0103;0.9922;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.4320;34.8100 
1279.638;0.0034;0.0103;0.9922;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.4320;34.8100 
1279.638;0.0034;0.0103;0.9922;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.4265;34.8100 
1279.638;0.0034;0.0103;0.9922;0.0000;0.0000;0.0000;0.6427;-0.2527;-53.4265;34.8700 
1279.638;0.0034;0.0103;0.9922;0.0000;0.0000;0.0000;0.6427;-0.2527;-53.4265;34.8700 
1279.638;0.0034;0.0103;0.9922;0.0000;0.0000;0.0000;0.6427;-0.2527;-53.4210;34.8300 
1279.638;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6427;-0.2527;-53.4210;34.8300 
1279.638;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6427;-0.2527;-53.4155;34.8000 
1279.648;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6427;-0.2527;-53.4155;34.8000 
1279.648;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.4100;34.8000 
1279.668;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.4100;34.8000 
1279.668;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.4045;34.8000 
1279.668;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.4045;34.8000 
1279.668;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.4045;34.7800 
1279.678;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3990;34.7800 
1279.678;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3990;34.8300 
1279.688;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3936;34.8300 
1279.688;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3936;34.8500 
1279.778;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3936;34.8500 
1279.778;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3881;34.8500 
1279.778;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3881;34.8200 
1279.788;0.0039;0.0117;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3881;34.8200 
1279.788;0.0044;0.0107;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3826;34.8200 
1279.788;0.0044;0.0107;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3826;34.8200 
1279.788;0.0044;0.0107;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3826;34.8100 
1279.788;0.0044;0.0107;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3826;34.8100 
1279.788;0.0044;0.0107;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3826;34.8000 
1279.788;0.0044;0.0107;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3826;34.8000 
1279.788;0.0044;0.0107;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3826;34.9000 
1279.788;0.0044;0.0107;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3826;34.9000 
1279.788;0.0049;0.0127;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3771;34.8400 
1279.788;0.0049;0.0127;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3771;34.8400 
1279.788;0.0049;0.0127;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3771;34.8500 
1279.788;0.0049;0.0127;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3716;34.8500 
1279.788;0.0049;0.0127;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3716;34.8500 
1279.788;0.0049;0.0127;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3661;34.7800 
1279.788;0.0049;0.0127;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3661;34.7800 
1279.788;0.0049;0.0127;0.9937;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3661;34.7800 
1279.788;0.0049;0.0132;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3661;34.7800 
1279.798;0.0049;0.0132;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3661;34.8500 
1279.798;0.0049;0.0132;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3606;34.8500 
1279.808;0.0049;0.0132;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3606;34.8600 
1279.808;0.0049;0.0132;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3606;34.8600 
1279.818;0.0049;0.0132;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3606;34.8300 
1279.818;0.0049;0.0132;0.9932;0.0000;0.0000;0.0000;0.6482;-0.2527;-53.3606;34.8300 
1279.917;0.0049;0.0132;0.9932;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3606;34.8000 
1279.917;0.0049;0.0122;0.9932;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3606;34.8000 
1279.937;0.0049;0.0122;0.9932;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8200 
1279.937;0.0049;0.0122;0.9932;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8200 
1279.937;0.0049;0.0122;0.9932;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8400 
1279.937;0.0049;0.0122;0.9932;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8400 
1279.937;0.0049;0.0122;0.9932;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8400 
1279.937;0.0049;0.0122;0.9932;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.7700 
1279.937;0.0049;0.0122;0.9932;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.7700 
1279.937;0.0049;0.0122;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8000 
1279.937;0.0049;0.0122;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8000 
1279.937;0.0049;0.0122;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8100 
1279.937;0.0049;0.0122;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8100 
1279.937;0.0049;0.0122;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8100 
1279.937;0.0049;0.0122;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8100 
1279.937;0.0049;0.0122;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8200 
1279.937;0.0049;0.0122;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8200 
1279.937;0.0044;0.0127;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8000 
1279.937;0.0044;0.0127;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8000 
1279.937;0.0044;0.0127;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8100 
1279.937;0.0044;0.0127;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3661;34.8100 
1279.937;0.0044;0.0127;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3716;34.7800 
1279.937;0.0044;0.0127;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3716;34.7800 
1279.957;0.0044;0.0127;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3716;34.7800 
1279.957;0.0044;0.0127;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3716;34.8500 
1279.967;0.0044;0.0112;0.9922;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3716;34.8500 
1279.967;0.0044;0.0112;0.9922;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3716;34.8900 
1279.967;0.0044;0.0112;0.9922;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3716;34.8900 
1279.967;0.0044;0.0112;0.9922;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3771;34.8100 
1279.977;0.0044;0.0112;0.9922;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3771;34.8100 
1279.977;0.0044;0.0112;0.9922;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3771;34.8400 
1279.987;0.0044;0.0112;0.9922;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3771;34.8400 
1279.987;0.0044;0.0112;0.9922;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3771;34.8400 
1279.997;0.0049;0.0112;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3771;34.8400 
1279.997;0.0049;0.0112;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3771;34.8200 
1280.007;0.0049;0.0112;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3771;34.8200 
1280.007;0.0049;0.0112;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3771;34.8200 
1280.017;0.0049;0.0112;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3771;34.8200 
1280.017;0.0049;0.0112;0.9927;0.0000;0.0000;0.0000;0.6537;-0.2527;-53.3826;34.8100 
