Time;ax;ay;az;wx;wy;wz;AngleX;AngleY;AngleZ;T 
540.342;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2300 
540.342;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2600 
540.342;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2600 
540.342;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2600 
540.342;0.0010;0.0068;0.9927;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2400 
540.342;0.0010;0.0068;0.9927;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2400 
540.362;0.0010;0.0068;0.9927;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2500 
540.362;0.0010;0.0068;0.9927;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2500 
540.362;0.0010;0.0068;0.9927;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2500 
540.362;0.0010;0.0068;0.9927;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2500 
540.362;0.0010;0.0068;0.9927;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9971;35.2800 
540.362;0.0010;0.0068;0.9927;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9916;35.2800 
540.362;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9916;35.2800 
540.372;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9916;35.2800 
540.372;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9916;35.2700 
540.372;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9861;35.2700 
540.372;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9861;35.2100 
540.372;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9806;35.2100 
540.372;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9806;35.2100 
540.382;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2100 
540.382;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2100 
540.382;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2400 
540.382;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2400 
540.382;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2800 
540.382;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2800 
540.382;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2600 
540.382;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2600 
540.392;0.0015;0.0059;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2200 
540.392;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2200 
540.412;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2400 
540.432;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2400 
540.432;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9641;35.2500 
540.452;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9641;35.2500 
540.452;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9641;35.2700 
540.452;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9641;35.2700 
540.452;0.0015;0.0068;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2200 
540.452;0.0020;0.0073;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2200 
540.452;0.0020;0.0073;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2200 
540.452;0.0020;0.0073;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2600 
540.452;0.0020;0.0073;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9696;35.2600 
540.552;0.0020;0.0073;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2800 
540.552;0.0020;0.0073;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2800 
540.572;0.0020;0.0073;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2800 
540.572;0.0020;0.0073;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2800 
540.572;0.0020;0.0063;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2400 
540.572;0.0020;0.0063;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2400 
540.572;0.0020;0.0063;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.1400 
540.572;0.0020;0.0063;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.1400 
540.572;0.0020;0.0063;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2600 
540.572;0.0020;0.0063;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2600 
540.572;0.0020;0.0063;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2200 
540.572;0.0020;0.0063;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2200 
540.572;0.0020;0.0078;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2200 
540.572;0.0020;0.0078;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2700 
540.572;0.0020;0.0078;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2700 
540.572;0.0020;0.0078;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2200 
540.572;0.0020;0.0078;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2200 
540.572;0.0020;0.0078;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2600 
540.572;0.0020;0.0078;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2600 
540.572;0.0020;0.0078;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2800 
540.572;0.0020;0.0083;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2800 
540.572;0.0020;0.0083;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2600 
540.572;0.0020;0.0083;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2600 
540.592;0.0020;0.0083;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2100 
540.592;0.0020;0.0083;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2100 
540.592;0.0020;0.0083;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9751;35.2800 
540.592;0.0020;0.0083;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9806;35.2800 
540.612;0.0020;0.0083;0.9932;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9806;35.2700 
540.612;0.0020;0.0068;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9806;35.2700 
540.612;0.0020;0.0068;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9806;35.2700 
540.612;0.0020;0.0068;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9806;35.2400 
540.622;0.0020;0.0068;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9806;35.2400 
540.622;0.0020;0.0068;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9806;35.1800 
540.642;0.0020;0.0068;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9861;35.1800 
540.642;0.0020;0.0068;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9861;35.2700 
540.752;0.0020;0.0068;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9861;35.2700 
540.752;0.0010;0.0078;0.9937;0.0000;0.0000;0.0000;0.4065;-0.0989;-56.9861;35.2400 
