Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
06084.610	0.0947	0.0313	0.9385	0.0000	0.0000	0.0000	1.9281	-5.7458	175.5121	33.5200	24	-305	-11 
06084.690	0.0947	0.0317	0.9385	0.0000	0.0000	0.0000	1.9281	-5.7458	175.5231	33.4600	20	-305	-8 
06084.796	0.0952	0.0317	0.9385	0.0000	0.0000	0.0000	1.9281	-5.7458	175.5286	33.4500	23	-305	-9 
06084.902	0.0957	0.0322	0.9380	0.0000	0.0000	0.0000	1.9281	-5.7513	175.5231	33.4600	22	-303	-10 
06084.993	0.0952	0.0332	0.9385	0.0000	0.0000	0.0000	1.9336	-5.7513	175.5231	33.4500	21	-302	-10 
06085.096	0.0952	0.0327	0.9390	0.0000	0.0000	0.0000	1.9336	-5.7513	175.5286	33.4600	24	-303	-8 
06085.199	0.0947	0.0308	0.9385	0.0000	0.0000	0.0000	1.9336	-5.7513	175.5011	33.4900	23	-305	-8 
06085.294	0.6680	-0.1211	0.9883	-0.0610	-0.1831	0.0000	1.7029	-6.6412	175.5341	33.4700	18	-302	-12 
06085.427	2.4399	-0.5410	0.8101	0.3662	-4.2114	1.2817	1.1481	-10.0195	175.9955	33.4900	20	-300	0 
06085.727	2.1094	-0.5073	0.5762	1.9531	3.8452	3.5400	0.6317	-13.6011	176.9238	33.4300	25	-304	22 
06085.741	0.1548	0.0195	0.1069	19.6533	37.5977	18.4326	1.0986	-14.3756	178.7091	33.5000	27	-320	44 
06085.764	-0.3657	0.2344	-0.0459	32.5928	49.6826	38.0859	4.7406	-6.4600	-177.2589	33.4500	3	-335	66 
06085.792	-0.4663	0.8242	0.6089	30.5176	22.8882	79.7119	10.0140	0.3900	-169.8651	33.4900	-60	-337	53 
06085.930	-0.2607	0.9785	1.1636	-22.2168	-36.1938	95.2148	12.0795	-1.4777	-160.8563	33.4500	-58	-323	11 
06086.006	-0.3296	-0.1177	1.0210	-57.2510	-13.7329	39.3677	5.4108	-5.3723	-155.6543	33.4800	-68	-352	72 
06086.091	-0.4966	0.2441	0.8130	64.5752	24.7192	16.6626	6.8280	-2.5983	-154.3304	33.5000	-70	-366	129 
06086.193	-0.4326	0.6201	0.4517	174.5605	20.1416	7.4463	23.3350	1.2634	-153.5889	33.5400	-84	-365	201 
06086.298	-0.3018	0.5498	0.2720	181.0303	11.2915	11.2915	42.8632	3.3728	-152.6385	33.5100	-91	-332	289 
06086.404	0.0576	0.4644	-0.3423	215.8813	9.7046	13.0005	64.8358	3.4222	-151.3916	33.4900	-90	-256	363 
06086.492	0.1860	0.7158	-0.7563	216.9800	6.9580	-6.4697	89.9835	2.1918	-151.2598	33.5300	-84	-236	379 
06086.594	-0.0913	0.9302	-0.3682	63.1714	9.5825	-27.0386	105.0623	4.2737	-150.4633	33.5200	-100	-233	383 
06086.700	-0.0923	1.0996	-0.0859	-17.8223	14.2822	12.3291	105.8807	4.4275	-149.5734	33.4900	-107	-234	378 
06086.803	0.0117	1.1362	-0.0044	-21.1792	5.4321	24.9023	102.3157	1.3458	-150.1007	33.4900	-106	-234	379 
06086.885	0.0264	1.0815	-0.0454	-4.0283	-0.7324	3.6011	100.6567	0.1318	-151.0620	33.4700	-105	-237	381 
06086.992	0.0156	1.0386	-0.0796	3.9673	-1.4648	-5.3101	100.5139	0.5273	-151.9519	33.4900	-105	-233	376 
06087.097	0.0117	1.0415	-0.0781	1.9531	-0.3052	-2.4414	100.4205	0.8514	-152.6495	33.4900	-106	-234	378 
06087.197	0.0117	1.0513	-0.0708	-0.4272	0.3052	0.5493	100.0635	0.8240	-153.3032	33.5200	-105	-236	379 
06087.287	0.0122	1.0527	-0.0698	-0.4883	0.1831	0.5493	99.6405	0.7141	-153.9459	33.4800	-104	-234	377 
06087.394	0.0127	1.0513	-0.0703	0.0000	0.0000	0.0000	99.2780	0.6427	-154.5612	33.4600	-103	-233	381 
06087.480	0.0127	1.0508	-0.0708	0.0000	0.0000	-0.1221	98.9594	0.5988	-155.1270	33.4600	-104	-235	382 
06087.591	0.0122	1.0503	-0.0713	0.0000	0.0610	-0.0610	98.6572	0.5548	-155.6653	33.5400	-106	-237	381 
06087.685	0.0117	1.0508	-0.0713	0.0000	0.0610	0.0000	98.3716	0.5054	-156.1597	33.5200	-104	-235	383 
06087.791	0.0122	1.0513	-0.0713	0.0000	0.0610	0.0000	98.1079	0.4504	-156.6211	33.4900	-105	-233	379 
06087.896	0.0122	1.0508	-0.0708	0.0000	0.0000	0.0000	97.8552	0.4010	-157.0660	33.4700	-106	-235	380 
06087.979	0.0127	1.0508	-0.0703	0.0000	0.0000	-0.0610	97.6190	0.3516	-157.4725	33.4100	-106	-237	383 
06088.082	0.0127	1.0508	-0.0703	0.0000	0.0000	-0.0610	97.3938	0.3131	-157.8625	33.4800	-107	-235	379 
06088.187	0.0122	1.0513	-0.0708	0.0000	0.0000	0.0000	97.1851	0.2692	-158.2306	33.4600	-103	-235	383 
06088.288	0.0122	1.0513	-0.0708	0.0000	0.0000	0.0000	96.9873	0.2252	-158.5931	33.5600	-106	-234	380 
06088.396	0.0127	1.0513	-0.0708	0.0000	0.0000	0.0000	96.8005	0.1813	-158.9227	33.4700	-106	-235	378 
06088.482	0.0127	1.0508	-0.0708	0.0000	0.0000	0.0000	96.6302	0.1373	-159.2358	33.5100	-105	-235	384 
06088.585	0.0122	1.0513	-0.0708	0.0000	0.0000	0.0000	96.4655	0.0934	-159.5325	33.4800	-105	-233	380 
06088.688	0.0122	1.0513	-0.0708	0.0000	0.0000	0.0000	96.3116	0.0549	-159.8126	33.4600	-105	-235	378 
06088.793	0.0122	1.0513	-0.0713	0.0000	0.0000	0.0000	96.1633	0.0220	-160.0928	33.5100	-103	-235	381 
06088.904	0.0122	1.0513	-0.0718	0.0000	0.0000	0.0000	96.0315	-0.0110	-160.3455	33.4900	-104	-234	379 
06088.991	0.0117	1.0513	-0.0708	0.0000	0.0610	0.0000	95.9052	-0.0439	-160.5707	33.4500	-107	-234	380 
06089.083	0.0122	1.0513	-0.0703	0.0000	0.0000	0.0000	95.7843	-0.0769	-160.7629	33.5200	-106	-234	380 
06089.187	0.0122	1.0518	-0.0703	0.0000	0.0000	0.0000	95.6689	-0.1044	-160.9607	33.5200	-104	-234	376 
06089.290	0.0117	1.0522	-0.0703	0.0000	0.0000	0.0000	95.5591	-0.1373	-161.1310	33.5000	-106	-236	377 
06089.379	0.0122	1.0513	-0.0703	0.0000	0.0000	0.0000	95.4602	-0.1648	-161.2903	33.4900	-112	-235	381 
06089.509	0.0127	1.0513	-0.0708	0.0000	0.0000	0.0000	95.3613	-0.1923	-161.4386	33.5000	-108	-232	377 
06089.592	0.0122	1.0503	-0.0713	0.0000	0.0610	0.0000	95.2734	-0.2142	-161.5924	33.4700	-105	-233	381 
06089.677	0.0122	1.0503	-0.0713	0.0000	0.0610	0.0000	95.1910	-0.2417	-161.7407	33.4800	-106	-232	381 
06089.782	0.0122	1.0513	-0.0708	0.0000	0.0000	0.0000	95.1141	-0.2637	-161.8781	33.4500	-109	-235	378 
06089.901	0.0122	1.0513	-0.0708	0.0000	0.0000	0.0000	95.0427	-0.2856	-162.0044	33.4800	-105	-235	378
