Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
03858.967	0.0928	0.0366	0.9390	0.0000	0.0000	-0.3052	2.1918	-5.6854	171.1066	36.0000	40	-288	-4 
03859.080	0.0938	0.0381	0.9390	0.0000	0.0000	-0.0610	2.2028	-5.6799	171.1121	35.9600	42	-289	-6 
03859.173	0.0942	0.0371	0.9395	0.0000	0.0000	0.0000	2.2028	-5.6799	171.1450	36.0300	41	-289	-7 
03859.313	0.0938	0.0371	0.9404	0.0000	0.0000	0.0000	2.2028	-5.6854	171.1615	36.0700	43	-288	-7 
03859.366	0.0947	0.0366	0.9404	0.0000	0.0000	0.0000	2.2028	-5.6854	171.1725	35.9800	41	-283	-5 
03859.468	0.0942	0.0361	0.9399	0.0000	0.0000	0.0000	2.2028	-5.6909	171.1835	36.0100	41	-287	-4 
03859.551	0.0928	0.0361	0.9404	0.0000	0.0000	0.0000	2.2083	-5.6854	171.1890	35.9900	44	-288	-4 
03859.669	0.0928	0.0361	0.9404	0.0000	0.0000	0.0000	2.2028	-5.6854	171.1835	36.0000	45	-287	-6 
03859.805	0.0938	0.0371	0.9395	0.0000	0.0000	0.0000	2.2028	-5.6854	171.1890	35.9400	44	-288	-5 
03859.865	0.0938	0.0371	0.9395	0.0000	0.0000	0.0000	2.2028	-5.6854	171.1890	36.0300	42	-285	-6 
03859.947	0.0933	0.0371	0.9404	0.0000	0.0000	0.0000	2.2028	-5.6799	171.1780	36.0300	43	-287	-7 
03860.061	0.0933	0.0366	0.9404	0.0610	0.0000	0.0000	2.2083	-5.6799	171.1780	36.0600	41	-287	-7 
03860.156	0.0938	0.0376	0.9404	0.0000	0.0000	0.0000	2.2192	-5.6799	171.1670	36.0500	44	-288	-10 
03860.263	0.0933	0.0366	0.9404	0.0000	0.0000	0.0000	2.2247	-5.6854	171.1725	36.0300	44	-290	-4 
03860.360	0.0928	0.0361	0.9404	0.0000	0.0000	0.0000	2.2302	-5.6799	171.1725	36.0100	43	-286	-4 
03860.473	0.0933	0.0366	0.9395	0.0000	0.0000	0.0000	2.2302	-5.6799	171.1890	35.9200	42	-290	-6 
03860.555	0.0938	0.0356	0.9395	0.0000	0.0000	0.0000	2.2302	-5.6799	171.1945	36.0400	44	-288	-5 
03860.663	0.0938	0.0361	0.9395	0.0000	0.0000	0.0000	2.2302	-5.6799	171.1890	36.0000	42	-285	-7 
03860.768	0.0933	0.0361	0.9395	0.0000	0.0000	0.0000	2.2247	-5.6799	171.1780	36.0100	43	-286	-5 
03860.864	0.0933	0.0366	0.9404	0.0000	0.0000	0.0000	2.2247	-5.6799	171.1835	36.0800	42	-286	-8 
03860.977	0.0942	0.0366	0.9404	0.0000	0.0000	0.0000	2.2247	-5.6799	171.1890	35.9900	42	-285	-3 
03861.077	0.0938	0.0366	0.9404	0.0000	0.0000	0.0000	2.2247	-5.6799	171.1835	35.9600	44	-286	-4 
03861.175	0.0938	0.0366	0.9404	0.0000	0.0000	0.0000	2.2247	-5.6799	171.1670	35.9700	44	-286	-4 
03861.249	0.0938	0.0356	0.9399	0.0000	0.0000	0.0000	2.2247	-5.6799	171.1725	36.0100	43	-284	-6 
03861.354	0.2749	0.0171	0.9683	0.0000	0.0000	0.0000	2.2083	-5.8063	171.1780	35.9900	42	-289	-5 
03861.458	1.2344	-0.1069	0.9355	0.0610	-1.4648	0.0000	1.9995	-7.7454	171.3318	36.0200	42	-285	0 
03861.558	2.3164	-0.2080	0.8296	0.8545	-1.4038	1.0986	1.8732	-11.3269	171.8042	36.0400	44	-284	7 
03861.653	1.4326	-0.0957	0.6147	-2.5635	6.1035	0.6104	1.6260	-14.2603	172.3260	35.9900	53	-275	13 
03861.759	-0.1455	0.0820	0.0479	-16.2354	15.0757	-9.1553	1.1316	-14.0570	172.0404	36.0000	65	-266	11 
03861.846	-0.3135	0.0688	0.0532	-22.7661	10.3149	-12.2070	-0.2087	-7.4652	171.7657	35.9900	64	-259	8 
03861.959	-0.1357	-0.4307	0.3838	18.3716	11.0474	2.0752	-2.1753	-3.5760	170.4913	35.9400	50	-319	110 
03862.053	0.1841	-0.3813	-0.5625	327.3315	39.6118	67.1387	10.1239	-2.7905	173.9575	36.0500	10	-287	294 
03862.157	0.0020	0.7983	-1.6973	498.0469	47.7905	67.9321	52.4103	-8.1354	-179.1321	36.0100	19	-165	379 
03862.243	-0.4224	1.2637	-1.3872	308.6548	-21.6675	-116.6992	100.9973	-6.6522	-176.6986	36.0000	49	-81	380 
03862.364	-0.5542	0.6455	-0.5781	90.3320	-66.0400	-229.4922	122.9919	11.9257	-172.8864	36.0600	51	-12	369 
03862.452	-0.7080	0.1992	-0.2388	-14.4653	-58.5327	-215.1489	129.2596	36.5735	-162.4219	35.9900	38	34	358 
03862.582	-0.7808	0.1260	-0.3335	-4.2114	-52.9785	-166.3818	138.4222	55.6458	-148.1451	36.0100	25	67	340 
03862.650	-0.8560	0.0532	-0.2334	15.5029	-77.5146	-137.3291	157.7087	69.2249	-127.3975	36.0200	9	101	317 
03862.755	-0.7842	0.0420	0.0845	17.1509	-89.5996	-150.1465	-148.2495	77.9810	-73.5150	36.0300	-40	118	314 
03862.870	-0.2598	0.0107	0.1938	-16.1743	-63.4155	-194.8853	-91.7908	67.7637	-16.3641	35.9800	-107	102	332 
03863.006	0.1230	-0.0996	0.1162	-56.8237	-37.1704	-220.9473	-84.4135	44.7693	-6.6138	36.0000	-146	71	354 
03863.079	0.1846	-0.1294	-0.0151	-59.2651	-6.7139	-108.0322	-89.6649	21.1926	-5.5151	36.0200	-144	65	362 
03863.170	-0.0034	-0.1958	-0.1616	-24.7192	3.3569	4.8218	-95.0592	12.9254	-5.5371	36.0500	-153	66	354 
03863.284	-0.2417	-0.9956	-0.2271	10.6812	26.4893	13.9771	-96.9379	15.0513	-8.4924	36.0000	-178	69	344 
03863.347	-0.2964	-1.1201	-0.2056	20.6909	53.4668	-6.9580	-96.7566	14.8425	-13.9471	35.9900	-189	78	333 
03863.497	-0.3149	-0.9688	-0.0913	26.3062	38.6353	-3.5400	-95.6250	13.7988	-20.4071	35.9900	-194	79	325 
03863.579	-0.2563	-0.8643	-0.0728	12.0239	10.7422	-3.1128	-94.2297	13.4747	-23.7469	35.9600	-195	81	324 
03863.647	-0.2261	-0.8804	-0.0542	-2.6245	-5.5542	-0.8545	-93.8727	13.3539	-24.3567	35.9800	-195	80	327 
03863.745	-0.2300	-0.9082	-0.0557	-2.9297	-3.6011	0.2441	-94.0265	13.4088	-24.4336	36.0200	-195	81	321 
03863.853	-0.2378	-0.9175	-0.0591	-0.1831	0.3662	0.2441	-94.1199	13.5022	-24.8456	36.0400	-197	78	326 
03863.945	-0.2388	-0.9136	-0.0601	0.3662	0.7324	0.0000	-94.0979	13.5736	-25.4443	35.9600	-199	81	326 
03864.052	-0.2373	-0.9106	-0.0601	0.1221	0.1221	-0.0610	-94.0540	13.6230	-26.0046	35.9900	-197	79	326 
03864.158	-0.2373	-0.9106	-0.0596	0.0000	-0.0610	0.0000	-94.0320	13.6780	-26.4771	35.9900	-197	81	325 
03864.244	-0.2373	-0.9106	-0.0601	0.0000	0.0000	0.0000	-94.0155	13.7274	-26.9275	36.0100	-198	83	327 
03864.357	-0.2373	-0.9106	-0.0596	0.0000	0.0000	0.0000	-93.9935	13.7769	-27.3450	36.0100	-195	82	324 
03864.474	-0.2373	-0.9111	-0.0596	0.0000	0.0000	0.0000	-93.9771	13.8208	-27.7295	35.9800	-195	83	325 
03864.552	-0.2378	-0.9116	-0.0596	0.0000	0.0000	0.0000	-93.9606	13.8647	-28.0975	36.0900	-196	81	328 
03864.656	-0.2378	-0.9111	-0.0601	0.0000	0.0000	0.0000	-93.9496	13.9087	-28.4436	35.9500	-196	80	324 
03864.750	-0.2378	-0.9111	-0.0596	0.0000	0.0000	0.0000	-93.9331	13.9471	-28.7842	35.9700	-197	81	322 
03864.854	-0.2373	-0.9116	-0.0591	0.0000	0.0000	0.0000	-93.9166	13.9801	-29.0973	36.0300	-195	82	325 
03864.986	-0.2368	-0.9116	-0.0591	0.0000	0.0000	0.0000	-93.9056	14.0131	-29.3774	36.0400	-195	81	325 
03865.049	-0.2373	-0.9116	-0.0596	0.0000	0.0000	0.0000	-93.8947	14.0460	-29.6466	35.9400	-198	80	327 
03865.157	-0.2373	-0.9111	-0.0596	0.0000	0.0000	0.0000	-93.8837	14.0735	-29.8938	35.9400	-198	79	327 
03865.250	-0.2373	-0.9111	-0.0596	0.0000	0.0000	0.0000	-93.8727	14.1064	-30.1355	36.0200	-197	81	326 
03865.350	-0.2373	-0.9111	-0.0596	0.0000	0.0000	0.0000	-93.8672	14.1284	-30.3607	36.0200	-195	81	329 
03865.447	-0.2378	-0.9106	-0.0591	0.0000	0.0000	0.0000	-93.8562	14.1559	-30.5475	36.0200	-195	80	327 
03865.590	-0.2378	-0.9106	-0.0596	0.0000	0.0000	0.0000	-93.8507	14.1833	-30.7288	36.0400	-196	82	328 
03865.656	-0.2373	-0.9116	-0.0601	0.0000	0.0000	0.0000	-93.8397	14.2053	-30.9265	36.0200	-198	83	328 
03865.747	-0.2373	-0.9111	-0.0601	0.0000	0.0000	0.0000	-93.8342	14.2273	-31.0968	35.9900	-195	79	327 
03865.862	-0.2378	-0.9106	-0.0601	0.0000	0.0000	0.0000	-93.8342	14.2493	-31.2671	35.9600	-195	83	325 
03865.956	-0.2378	-0.9106	-0.0601	0.0000	0.0000	0.0000	-93.8287	14.2657	-31.4209	35.9900	-195	80	331 
03866.062	-0.2378	-0.9106	-0.0601	0.0000	0.0000	0.0000	-93.8232	14.2877	-31.5582	36.0500	-199	80	326 
03866.166	-0.2373	-0.9111	-0.0596	0.0000	0.0000	0.0000	-93.8177	14.3042	-31.7120	35.9800	-195	81	326 
03866.278	-0.2378	-0.9116	-0.0591	0.0000	0.0000	0.0000	-93.8123	14.3207	-31.8329	36.1000	-196	78	326 
03866.367	-0.2378	-0.9111	-0.0596	0.0000	0.0000	0.0000	-93.8068	14.3372	-31.9702	36.0800	-197	80	324 
03866.459	-0.2378	-0.9111	-0.0601	0.0000	0.0000	0.0000	-93.8013	14.3481	-32.0856	36.0100	-196	81	326 
03866.557	-0.2378	-0.9111	-0.0601	0.0000	0.0000	0.0000	-93.8013	14.3646	-32.1844	36.0400	-193	84	325 
03866.652	-0.2373	-0.9116	-0.0596	0.0000	0.0000	0.0000	-93.7958	14.3756	-32.2888	36.0000	-194	82	325 
03866.768	-0.2373	-0.9116	-0.0596	0.0000	0.0000	0.0000	-93.7958	14.3866	-32.3822	36.0000	-196	79	326 
03866.877	-0.2373	-0.9116	-0.0596	0.0000	0.0000	0.0000	-93.7903	14.3976	-32.4866	36.0300	-197	80	325 
03866.966	-0.2378	-0.9116	-0.0596	0.0000	0.0000	0.0000	-93.7848	14.4086	-32.5745	36.0100	-196	80	327 
03867.057	-0.2378	-0.9111	-0.0601	0.0000	0.0000	0.0000	-93.7848	14.4196	-32.6514	36.0500	-194	84	326 
03867.165	-0.2378	-0.9111	-0.0605	0.0000	0.0000	0.0000	-93.7848	14.4305	-32.7283	36.0100	-196	83	325 
03867.248	-0.2383	-0.9111	-0.0596	0.0000	0.0000	0.0000	-93.7848	14.4360	-32.7942	35.9800	-194	81	326 
03867.354	-0.2378	-0.9111	-0.0586	0.0000	0.0000	0.0000	-93.7793	14.4470	-32.8546	36.0500	-198	80	326 
