Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
04011.513	0.0942	0.0371	0.9390	-0.0610	0.0000	-0.0610	2.2852	-5.5811	171.4032	35.5200	42	-291	-6 
04011.649	0.0938	0.0376	0.9395	-0.0610	0.0000	-0.0610	2.2797	-5.5920	171.3977	35.6000	43	-289	-6 
04011.714	0.0923	0.0371	0.9399	-0.0610	0.0000	0.0000	2.2742	-5.5920	171.4032	35.6000	40	-289	-6 
04011.884	0.0923	0.0371	0.9399	-0.0610	0.0000	0.0000	2.2687	-5.5920	171.4197	35.6400	42	-287	-8 
04011.913	0.0928	0.0366	0.9399	0.0000	0.0000	0.0000	2.2632	-5.5975	171.4087	35.5800	45	-289	-9 
04012.021	0.0928	0.0371	0.9399	0.0000	0.0000	0.0000	2.2632	-5.5975	171.3812	35.5700	44	-288	-9 
04012.132	0.0928	0.0371	0.9395	0.0000	0.0000	0.0000	2.2632	-5.5975	171.3647	35.6000	43	-290	-8 
04012.216	0.0923	0.0371	0.9399	0.0000	0.0000	0.0000	2.2632	-5.6030	171.3812	35.5800	40	-289	-6 
04012.325	0.0923	0.0366	0.9399	0.0000	0.0000	0.0000	2.2632	-5.6030	171.4087	35.5300	40	-289	-8 
04012.422	0.0928	0.0366	0.9399	0.0000	0.0000	0.0000	2.2632	-5.6030	171.4197	35.5800	43	-286	-6 
04012.540	0.0923	0.0371	0.9404	0.0000	0.0000	0.0000	2.2632	-5.6030	171.4087	35.5500	43	-287	-9 
04012.634	0.0928	0.0371	0.9409	0.0000	0.0000	0.0000	2.2632	-5.6030	171.4197	35.6400	39	-290	-5 
04012.798	0.0928	0.0371	0.9404	0.0000	0.0000	0.0000	2.2577	-5.6030	171.4417	35.6200	42	-287	-5 
04012.829	0.0928	0.0371	0.9399	0.0000	0.0000	0.0000	2.2577	-5.6085	171.4417	35.6300	42	-288	-4 
04012.925	0.0923	0.0366	0.9399	0.0000	0.0000	0.0000	2.2577	-5.6085	171.4417	35.6200	43	-289	-6 
04013.022	0.0923	0.0366	0.9399	0.0000	0.0000	0.0000	2.2577	-5.6085	171.4471	35.6100	41	-290	-8 
04013.123	0.0923	0.0366	0.9395	0.0000	0.0000	0.0000	2.2577	-5.6085	171.4636	35.6000	43	-291	-6 
04013.246	0.0928	0.0371	0.9399	0.0000	0.0000	0.0000	2.2577	-5.6085	171.4911	35.6100	40	-286	-7 
04013.409	0.0928	0.0366	0.9404	0.0000	0.0000	0.0000	2.2522	-5.6085	171.4911	35.5400	43	-292	-9 
04013.415	0.0928	0.0366	0.9399	0.0000	0.0000	0.0000	2.2522	-5.6085	171.4856	35.5800	42	-291	-5 
04013.522	0.3247	0.0098	0.9751	0.0000	0.0000	0.0000	2.2357	-5.7239	171.4966	35.5900	41	-290	-7 
04013.630	1.3638	-0.1274	0.9414	0.0610	-1.9531	-0.4883	2.0105	-7.7234	171.6174	35.5300	40	-285	-1 
04013.727	2.3179	-0.2432	0.7632	0.9155	-1.8311	-0.3052	1.8567	-11.4203	171.9305	35.6100	45	-286	6 
04013.817	1.3115	-0.1172	0.5249	0.9155	10.2539	3.0518	1.7303	-14.2493	172.5787	35.6100	54	-287	17 
04013.970	-0.2031	0.1084	0.0234	-0.7324	28.3813	2.5024	2.2247	-12.8046	173.1390	35.5700	61	-288	25 
04014.048	-0.3584	0.1343	-0.0156	-1.8921	28.5034	3.4180	2.7686	-4.7626	174.5178	35.5800	57	-290	31 
04014.115	-0.4263	0.1201	0.9819	3.2349	3.9063	14.4043	3.2135	-0.8954	175.4132	35.5600	44	-298	32 
04014.222	-0.4258	0.1982	1.1406	6.1035	-13.1226	20.7520	4.0540	-0.3241	177.0392	35.5600	30	-301	30 
04014.346	-0.3296	0.1807	1.0308	0.1831	-16.1133	26.2451	4.6252	-1.0272	179.1870	35.6100	17	-307	33 
04014.434	-0.4868	0.2344	0.9590	-1.6479	-7.8125	28.3203	4.8999	-1.0162	-178.2312	35.6000	5	-310	32 
04014.537	-0.5674	0.2578	0.9180	-2.1362	3.8452	24.8413	5.2679	0.6372	-175.6384	35.5800	0	-316	33 
04014.712	-0.4248	0.2173	0.9282	-1.3428	3.4790	21.9116	5.6799	2.2961	-173.4906	35.5800	-6	-316	31 
04014.818	-0.3174	0.1953	0.9424	-0.1221	0.1221	16.2964	6.1249	3.2629	-171.8536	35.6000	-10	-318	33 
04014.845	-0.1870	0.1484	0.9429	0.0610	-0.5493	8.6670	6.4545	3.7299	-171.0242	35.5800	-13	-317	33 
04014.973	0.0410	0.0483	0.9409	0.0000	-0.2441	-0.4883	6.3776	3.5651	-171.2000	35.6000	-13	-319	36 
04015.068	0.0679	0.0337	0.9409	0.0000	0.0000	-1.6479	6.1084	3.1586	-171.7163	35.6200	-12	-315	36 
04015.145	0.0347	0.0474	0.9414	0.0000	0.0610	-0.3052	5.8777	2.8290	-172.1503	35.6000	-13	-316	34 
04015.263	0.0220	0.0532	0.9414	0.0000	0.0000	0.1221	5.7074	2.5818	-172.4908	35.6100	-9	-317	33 
04015.646	0.0229	0.0532	0.9414	0.0000	0.0000	0.0610	5.5536	2.3621	-172.8094	35.5600	-11	-319	35 
04015.672	0.0259	0.0513	0.9409	0.0000	0.0000	0.0000	5.4053	2.1423	-173.0951	35.5200	-12	-318	34 
04015.820	0.0269	0.0518	0.9409	0.0000	0.0000	0.0000	5.2625	1.9281	-173.3698	35.5700	-12	-317	38 
04016.406	0.0269	0.0522	0.9409	0.0000	0.0000	0.0000	5.1306	1.7249	-173.6224	35.5800	-10	-316	39 
04016.667	0.0264	0.0522	0.9409	0.0000	0.0000	0.0000	5.0153	1.5326	-173.8586	35.6000	-16	-316	38 
04016.942	0.0264	0.0522	0.9414	0.0000	0.0000	0.0000	4.8999	1.3513	-174.0674	35.5400	-15	-317	38 
04017.102	0.0264	0.0522	0.9409	0.0000	0.0000	0.0000	4.7955	1.1810	-174.2596	35.5200	-15	-316	38 
04017.200	0.0269	0.0522	0.9409	0.0000	0.0000	0.0000	4.6967	1.0217	-174.4519	35.6000	-10	-316	36 
04017.463	0.0269	0.0522	0.9414	0.0000	0.0000	0.0000	4.6033	0.8679	-174.6442	35.5200	-14	-315	33 
04017.659	0.0269	0.0518	0.9414	0.0000	0.0000	0.0000	4.5154	0.7251	-174.8145	35.6200	-12	-316	36 
04017.779	0.0264	0.0518	0.9414	0.0000	0.0000	0.0000	4.4275	0.5878	-174.9847	35.5500	-12	-320	35 
04018.084	0.0264	0.0527	0.9419	0.0000	0.0000	0.0000	4.3506	0.4614	-175.1495	35.5500	-11	-320	35 
04018.416	0.0264	0.0522	0.9419	0.0000	0.0000	0.0000	4.2847	0.3461	-175.3088	35.5600	-13	-319	36 
04018.655	0.0269	0.0522	0.9414	0.0000	0.0000	0.0000	4.2133	0.2307	-175.4407	35.5300	-13	-318	36 
04018.805	0.0264	0.0522	0.9414	0.0000	0.0000	0.0000	4.1528	0.1208	-175.5450	35.6100	-15	-316	35 
04019.055	0.0264	0.0522	0.9419	0.0000	0.0000	0.0000	4.0979	0.0220	-175.6494	35.5800	-14	-314	33 
04019.055	0.0264	0.0522	0.9419	0.0000	0.0000	0.0000	4.0430	-0.0659	-175.7538	35.4900	-12	-315	37 
04019.055	0.0269	0.0522	0.9414	0.0000	0.0000	0.0000	3.9880	-0.1538	-175.8472	35.5900	-13	-313	40 
04019.162	0.0269	0.0522	0.9409	0.0000	0.0000	0.0000	3.9386	-0.2417	-175.9460	35.5700	-12	-314	36 
04019.207	0.0259	0.0522	0.9409	0.0000	0.0000	0.0000	3.8947	-0.3186	-176.0229	35.6400	-14	-314	34 
04019.262	0.0264	0.0522	0.9419	0.0000	0.0000	0.0000	3.8507	-0.3900	-176.1108	35.5500	-10	-314	35 
04019.262	0.0269	0.0522	0.9414	0.0000	0.0000	0.0000	3.8123	-0.4614	-176.2207	35.5800	-11	-316	35 
04019.273	0.0269	0.0522	0.9414	0.0000	0.0000	0.0000	3.7738	-0.5328	-176.3141	35.6400	-14	-313	34 
