Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
05024.657	0.0957	0.0342	0.9395	0.0000	0.0000	0.0000	2.0764	-5.7513	172.0679	36.1600	39	-293	-7 
05024.744	0.0952	0.0342	0.9395	0.0000	0.0000	0.0000	2.0764	-5.7513	172.0624	36.1600	40	-292	-8 
05024.869	0.0947	0.0337	0.9390	0.0000	0.0000	0.0000	2.0764	-5.7568	172.0679	36.1900	39	-293	-7 
05024.958	0.0947	0.0342	0.9390	0.0000	0.0000	0.0000	2.0764	-5.7568	172.0624	36.1000	40	-293	-6 
05025.044	0.0947	0.0337	0.9395	0.0000	0.0000	0.0000	2.0764	-5.7568	172.0349	36.2100	43	-293	-6 
05025.157	0.0962	0.0342	0.9390	0.0000	0.0000	0.0000	2.0764	-5.7568	172.0404	36.1100	37	-291	-7 
05025.243	0.0957	0.0342	0.9390	0.0000	0.0000	0.0000	2.0709	-5.7568	172.0294	36.1900	40	-294	-7 
0`5025.351	0.0952	0.0337	0.9395	0.0000	0.0000	0.0000	2.0709	-5.7623	172.0294	36.1600	39	-295	-7 
05025.443	0.0952	0.0342	0.9399	0.0000	0.0000	0.0000	2.0709	-5.7623	172.0349	36.1100	37	-291	-8 
05025.551	0.0952	0.0347	0.9390	0.0000	0.0610	0.0000	2.0709	-5.7568	172.0459	36.1900	40	-293	-9 
05025.666	0.0942	0.0342	0.9395	0.0000	0.0000	0.0000	2.0709	-5.7568	172.0404	36.1300	39	-297	-10 
05025.750	0.0938	0.0327	0.9395	0.0000	0.0000	0.0000	2.0709	-5.7513	172.0404	36.1300	39	-293	-8 
05025.892	1.2280	-0.1636	0.9663	0.0610	-1.5869	-0.9766	1.8347	-7.0313	172.1008	36.1900	39	-286	-3 
05025.965	2.3945	-0.3271	0.8130	1.1597	-4.5166	-4.0283	1.6205	-10.5634	172.2546	36.1900	43	-285	6 
05026.071	1.4844	-0.1299	0.5098	2.7466	12.6953	-1.7090	1.7303	-13.8922	172.3535	36.1500	56	-292	22 
05026.140	0.1797	0.0693	0.1494	6.6528	35.6445	8.1177	2.4390	-14.1229	173.0072	36.1800	58	-294	40 
05026.253	-0.3818	0.1709	-0.0405	12.2070	49.0723	22.5830	4.3011	-4.9329	175.8307	36.1100	53	-307	52 
05026.343	-0.4180	0.4575	0.4536	9.8267	25.2686	32.6538	6.9159	2.1039	179.6814	36.1600	32	-304	30 
05026.451	-0.6040	0.2529	1.0781	-17.8223	-28.7476	25.8179	7.2290	2.1643	-177.4182	36.1400	29	-315	48 
05026.563	-0.5010	0.1841	0.6772	4.1504	-6.7139	14.5264	7.0697	2.0874	-176.1603	36.1300	16	-323	55 
05026.654	-0.3169	0.4634	0.7529	9.7656	-13.6108	4.3945	10.4810	2.8015	-175.2594	36.1500	22	-301	27 
05026.755	-0.3364	0.1313	0.9385	-33.2031	-19.6533	-9.0942	9.1571	2.1368	-176.2811	36.2000	15	-309	31 
05026.867	-0.3677	0.0386	1.0103	-12.8784	-7.3242	7.9956	5.9766	1.9446	-176.9897	36.1900	7	-311	36 
05026.952	-0.3091	0.0859	0.9639	5.4321	-0.1221	17.7612	5.8942	2.5269	-175.8636	36.1900	8	-311	35 
05027.062	0.0063	0.0776	0.9302	4.8218	1.4648	7.5684	6.5808	2.7905	-174.8914	36.1200	7	-313	37 
05027.154	0.0835	0.0576	0.9336	0.7324	0.3052	-0.2441	6.6467	2.4664	-174.9902	36.2100	3	-312	30 
05027.258	0.0522	0.0503	0.9414	-0.9155	-0.2441	-1.9531	6.3501	2.0929	-175.4956	36.1500	2	-314	32 
05027.392	0.0293	0.0532	0.9424	-0.4272	-0.1221	-0.5493	6.0864	1.8402	-175.9076	36.0900	3	-311	33 
05027.449	0.0264	0.0557	0.9409	0.0610	0.0610	0.2441	5.9161	1.6479	-176.1658	36.1900	3	-311	30 
05027.607	0.0308	0.0557	0.9409	0.1221	0.0610	0.1221	5.7733	1.4612	-176.4130	36.2000	6	-314	32 
05027.695	0.0337	0.0547	0.9409	0.0000	0.0000	0.0000	5.6250	1.2634	-176.6821	36.1600	5	-314	35 
05027.799	0.0327	0.0552	0.9409	0.0000	0.0000	-0.0610	5.4877	1.0767	-176.9183	36.1500	5	-312	37 
05028.027	0.0317	0.0552	0.9409	0.0000	0.0000	0.0000	5.3558	0.9064	-177.1765	36.1400	6	-310	33 
05028.093	0.0317	0.0552	0.9414	0.0000	0.0000	0.0000	5.2350	0.7416	-177.3743	36.2000	2	-313	31 
05028.097	0.0317	0.0547	0.9414	0.0000	0.0000	0.0000	5.1196	0.5878	-177.5665	36.1300	4	-310	32 
05028.217	0.0317	0.0547	0.9414	0.0000	0.0000	0.0000	5.0098	0.4449	-177.7478	36.1300	2	-307	34 
05028.274	0.0317	0.0557	0.9404	0.0000	0.0000	0.0000	4.9109	0.3076	-177.9071	36.2100	3	-313	33 
05028.493	0.0322	0.0557	0.9404	0.0000	0.0000	0.0000	4.8175	0.1813	-178.0554	36.0900	4	-312	34 
05028.531	0.0322	0.0562	0.9409	0.0000	0.0000	0.0000	4.7351	0.0549	-178.2257	36.2300	6	-316	31 
05028.579	0.0322	0.0562	0.9409	0.0000	0.0000	0.0000	4.6527	-0.0549	-178.3740	36.1100	2	-312	36 
05028.696	0.0322	0.0552	0.9414	0.0000	0.0000	0.0000	4.5813	-0.1648	-178.4784	36.2100	3	-313	35 
05028.761	0.0322	0.0552	0.9414	0.0000	0.0000	0.0000	4.5044	-0.2692	-178.6212	36.1400	5	-312	33 
05028.842	0.0327	0.0557	0.9419	0.0000	0.0000	0.0000	4.4385	-0.3625	-178.7366	36.1900	3	-312	31 
05028.985	0.0327	0.0557	0.9414	0.0000	0.0000	0.0000	4.3726	-0.4559	-178.8629	36.2300	7	-317	35 
05029.073	0.0317	0.0557	0.9414	0.0000	0.0000	0.0000	4.3176	-0.5438	-178.9783	36.1700	5	-313	35 
05029.156	0.0317	0.0562	0.9414	0.0000	0.0000	0.0000	4.2627	-0.6262	-179.0826	36.1900	5	-312	33 
05029.364	0.0322	0.0557	0.9414	0.0000	0.0000	0.0000	4.2078	-0.6976	-179.1815	36.1400	4	-313	33 
05029.458	0.0322	0.0557	0.9409	0.0000	0.0000	0.0000	4.1583	-0.7745	-179.2859	36.1700	4	-312	32 
05029.473	0.0322	0.0557	0.9414	0.0000	0.0000	0.0000	4.1144	-0.8405	-179.3628	36.1700	4	-311	32 
05029.580	0.0313	0.0547	0.9414	0.0000	0.0000	0.0000	4.0704	-0.9064	-179.4122	36.1400	1	-312	32 
05029.643	0.0313	0.0552	0.9409	0.0000	0.0000	0.0000	4.0265	-0.9613	-179.4781	36.1700	4	-316	31 
05029.762	0.0322	0.0557	0.9414	0.0000	0.0000	0.0000	3.9880	-1.0162	-179.5551	36.1200	5	-315	31 
05029.907	0.0322	0.0557	0.9414	0.0000	0.0000	0.0000	3.9496	-1.0712	-179.6265	36.1800	6	-313	31 
05030.095	0.0317	0.0552	0.9404	0.0000	0.0000	0.0000	3.9166	-1.1206	-179.7034	36.1100	4	-310	31 
05030.266	0.0313	0.0552	0.9404	0.0000	0.0000	0.0000	3.8837	-1.1700	-179.7638	36.1600	6	-312	30 
05030.486	0.0317	0.0552	0.9409	0.0000	0.0000	0.0000	3.8507	-1.2085	-179.8297	36.1000	3	-309	31 
05030.581	0.0322	0.0547	0.9414	0.0000	0.0000	0.0000	3.8177	-1.2524	-179.8572	36.1400	2	-307	34 
05030.649	0.0322	0.0547	0.9419	0.0000	0.0000	0.0000	3.7903	-1.2964	-179.8682	36.1200	2	-308	34 
05030.774	0.0317	0.0552	0.9419	0.0000	0.0000	0.0000	3.7628	-1.3293	-179.9121	36.1600	3	-312	35 
05030.796	0.0317	0.0562	0.9419	0.0000	0.0000	0.0000	3.7408	-1.3678	-179.9506	36.1200	4	-310	34 
05030.805	0.0322	0.0557	0.9409	0.0000	0.0000	0.0000	3.7244	-1.4008	-179.9780	36.1400	2	-309	31 
05030.818	0.0317	0.0547	0.9404	0.0000	0.0000	0.0000	3.7024	-1.4337	179.9890	36.1100	3	-310	30 
05030.847	0.0313	0.0552	0.9409	0.0000	0.0000	0.0000	3.6804	-1.4612	179.9725	36.1900	1	-309	31 
05031.027	0.0313	0.0557	0.9414	0.0000	0.0000	0.0000	3.6639	-1.4832	179.9286	36.1400	6	-313	35 
05031.254	0.0313	0.0557	0.9419	0.0000	0.0000	0.0000	3.6475	-1.5106	179.9066	36.1400	3	-311	34 
05031.309	0.0322	0.0552	0.9414	0.0000	0.0000	0.0000	3.6310	-1.5326	179.8737	36.1900	7	-310	33 
05031.328	0.0322	0.0547	0.9414	0.0000	0.0000	0.0000	3.6145	-1.5601	179.8297	36.1900	5	-314	32 
05031.347	0.0322	0.0552	0.9419	0.0000	0.0000	0.0000	3.5980	-1.5820	179.8132	36.0800	4	-308	35 
05031.487	0.0317	0.0552	0.9419	0.0000	0.0000	0.0000	3.5815	-1.6040	179.8022	36.1400	4	-315	32 
05031.599	0.0308	0.0547	0.9409	0.0000	0.0000	0.0000	3.5651	-1.6205	179.7528	36.0900	7	-313	30 
05031.722	0.0308	0.0547	0.9409	0.0000	0.0000	0.0000	3.5541	-1.6370	179.7308	36.0900	4	-309	33 
05031.786	0.0317	0.0547	0.9404	0.0000	0.0000	0.0000	3.5376	-1.6479	179.7034	36.1100	1	-309	34 
05031.874	0.0317	0.0552	0.9404	0.0000	0.0000	0.0000	3.5266	-1.6644	179.7144	36.1300	3	-311	34 
05031.989	0.0317	0.0562	0.9409	0.0000	0.0000	0.0000	3.5211	-1.6809	179.6704	36.0800	7	-312	32 
05032.131	0.0313	0.0557	0.9414	0.0000	0.0000	0.0000	3.5101	-1.6919	179.6265	36.1400	5	-312	31 
05032.195	0.0313	0.0552	0.9414	0.0000	0.0000	0.0000	3.5046	-1.7084	179.6045	36.1300	2	-309	32 
05032.412	0.0317	0.0552	0.9419	0.0000	0.0000	0.0000	3.4937	-1.7194	179.6045	36.1700	6	-311	33 
05032.460	0.0313	0.0557	0.9424	0.0000	0.0000	0.0000	3.4882	-1.7303	179.5825	36.1600	3	-312	30 
05032.522	0.0308	0.0557	0.9419	0.0000	0.0000	0.0000	3.4772	-1.7413	179.5935	36.1200	2	-311	31 
