Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
03482.128	0.0518	0.0193	0.4700	0.0000	0.0000	0.0000	2.3181	-6.2238	171.2384	36.9500	42	-288	-7 
03482.208	0.0518	0.0190	0.4700	0.0000	0.0000	0.0000	2.3181	-6.2292	171.2439	36.9300	43	-288	-8 
03482.314	0.0518	0.0188	0.4700	0.0000	0.0000	0.0000	2.3181	-6.2292	171.2549	36.8900	43	-287	-5 
03482.413	0.0518	0.0190	0.4697	0.0000	0.0000	0.0000	2.3181	-6.2347	171.2714	36.9400	41	-292	-8 
03482.534	0.0515	0.0188	0.4700	0.0000	0.0000	0.0000	2.3181	-6.2347	171.2714	36.9300	43	-291	-4 
03482.602	0.0513	0.0188	0.4702	0.0000	0.0000	0.0000	2.3181	-6.2347	171.2714	36.9600	43	-289	-6 
03482.713	0.0510	0.0190	0.4702	0.0000	0.0000	0.0000	2.3181	-6.2347	171.2714	36.9700	41	-286	-4 
03482.810	0.0513	0.0188	0.4700	0.0000	0.0000	0.0000	2.3126	-6.2292	171.2878	36.9200	42	-286	-4 
03482.936	0.0513	0.0190	0.4700	0.0000	0.0000	0.0000	2.3126	-6.2292	171.3098	36.9400	40	-288	-6 
03483.001	0.0515	0.0190	0.4700	0.0000	0.0000	0.0000	2.3126	-6.2292	171.3208	37.0000	43	-288	-5 
03483.106	0.0515	0.0188	0.4697	0.0000	0.0000	0.0000	2.3126	-6.2292	171.3098	36.9600	42	-288	-7 
03483.209	0.0518	0.0188	0.4700	0.0000	0.0000	0.0000	2.3126	-6.2292	171.3263	36.9700	42	-290	-3 
03483.338	0.0515	0.0190	0.4700	0.0000	0.0000	0.0000	2.3126	-6.2347	171.3373	36.9700	42	-290	-5 
03483.404	0.0513	0.0190	0.4702	0.0000	0.0000	0.0000	2.3126	-6.2347	171.3428	36.9400	43	-293	-8 
03483.506	0.0510	0.0188	0.4700	0.0000	0.0000	0.0000	2.3126	-6.2292	171.3538	36.9100	43	-289	-4 
03483.611	0.1865	0.0039	0.5022	0.0000	0.0000	0.0000	2.3016	-6.3171	171.3428	36.9200	43	-288	-5 
03483.718	0.7332	-0.0667	0.4741	0.0000	-4.2725	1.4038	2.1039	-8.3826	171.5405	36.8900	36	-287	-4 
03483.806	1.2561	-0.1309	0.3123	0.1831	-5.1270	4.3335	1.8457	-12.5793	172.2491	36.9500	44	-285	7 
03483.911	0.6787	-0.0481	0.2034	-0.7935	14.8315	5.3711	1.5875	-15.6555	173.2434	36.9400	49	-285	19 
03484.022	-0.1335	0.0610	0.0046	-4.9438	39.0015	12.5732	1.9775	-14.2383	174.0564	36.9600	54	-288	28 
03484.145	-0.1992	0.0747	0.0010	-5.2490	37.5977	20.5688	2.0160	-5.2515	176.6711	36.9600	42	-297	36 
03484.237	-0.2754	0.1152	0.4937	7.6294	3.6011	32.9590	2.7026	-0.3955	179.5386	36.9400	30	-307	43 
03484.305	-0.3525	0.1228	0.4854	14.7095	0.4883	27.7710	4.5374	1.2195	-177.6819	36.9600	27	-312	49 
03484.448	-0.2632	0.1001	0.3223	1.1597	7.3242	19.2261	6.1688	4.4055	-175.6659	36.9000	1	-316	40 
03484.506	-0.1753	0.1257	0.4832	-7.3853	-27.9541	23.0713	6.5808	4.6582	-173.8147	36.9600	-3	-314	39 
03484.621	-0.1885	0.1306	0.5430	-7.9956	-26.9165	9.8877	6.1798	1.7084	-172.6721	36.9400	-2	-317	37 
03484.707	-0.2493	0.1252	0.4934	-2.4414	-4.8218	-1.7700	6.1743	1.3843	-172.7930	36.9500	-3	-315	38 
03484.829	-0.1228	0.0623	0.4592	1.0986	5.2490	-5.8594	6.5094	2.9443	-173.6444	36.9600	0	-315	39 
03484.910	-0.0002	0.0244	0.4634	0.7935	2.3804	-2.4414	6.5149	3.6035	-174.3585	36.9200	-1	-313	40 
03485.019	0.0435	0.0161	0.4719	0.0000	-0.6104	0.6714	6.2512	3.1805	-174.6826	36.9600	-3	-315	36 
03485.107	0.0259	0.0225	0.4729	-0.1221	-0.6104	0.6104	6.0040	2.6917	-174.9133	36.9600	0	-315	38 
03485.212	0.0100	0.0269	0.4712	0.0000	0.0000	0.0000	5.8228	2.4115	-175.1770	36.9500	0	-316	35 
03485.318	0.0105	0.0264	0.4707	0.0000	0.0610	-0.1221	5.6635	2.2083	-175.4517	36.8900	-2	-314	37 
03485.404	0.0134	0.0251	0.4709	0.0000	0.0000	-0.0610	5.5042	2.0050	-175.7098	36.9100	0	-314	34 
03485.522	0.0142	0.0254	0.4709	0.0000	0.0000	0.0000	5.3558	1.7963	-175.9625	36.8800	0	-315	38 
03485.627	0.0139	0.0254	0.4705	0.0000	0.0000	0.0000	5.2185	1.5930	-176.1658	36.9700	-2	-315	36 
03485.704	0.0137	0.0251	0.4705	0.0000	0.0000	0.0000	5.0867	1.4063	-176.3745	36.9000	-1	-317	37 
03485.816	0.0137	0.0251	0.4712	0.0000	0.0000	0.0000	4.9603	1.2305	-176.5723	37.0000	0	-318	37 
03485.922	0.0137	0.0249	0.4714	0.0000	0.0000	0.0000	4.8450	1.0657	-176.7426	37.0000	-3	-316	36 
03486.008	0.0142	0.0249	0.4712	0.0000	0.0000	0.0000	4.7351	0.9064	-176.9019	36.9500	-4	-316	36 
03486.115	0.0139	0.0249	0.4709	0.0000	0.0000	0.0000	4.6307	0.7581	-177.0612	36.9800	-1	-315	38 
03486.208	0.0139	0.0249	0.4707	0.0000	0.0000	0.0000	4.5374	0.6152	-177.2150	36.9400	-1	-317	34 
03486.315	0.0139	0.0251	0.4707	0.0000	0.0000	0.0000	4.4495	0.4834	-177.3358	36.9100	-4	-316	39 
03486.443	0.0142	0.0254	0.4712	0.0000	0.0000	0.0000	4.3671	0.3571	-177.4622	36.8900	-4	-315	37 
03486.512	0.0139	0.0254	0.4712	0.0000	0.0000	0.0000	4.2902	0.2362	-177.5720	36.9100	0	-316	35 
03486.640	0.0139	0.0254	0.4709	0.0000	0.0000	0.0000	4.2188	0.1263	-177.6819	36.9000	-3	-316	37 
03486.706	0.0142	0.0256	0.4714	0.0000	0.0000	0.0000	4.1473	0.0165	-177.7863	36.9700	-3	-313	38 
03486.811	0.0139	0.0256	0.4709	0.0000	0.0000	0.0000	4.0869	-0.0769	-177.8467	36.9900	-6	-316	39 
03486.912	0.0139	0.0254	0.4707	0.0000	0.0000	0.0000	4.0320	-0.1703	-177.9181	36.9600	-4	-311	39 
03487.014	0.0137	0.0254	0.4709	0.0000	0.0000	0.0000	3.9716	-0.2582	-178.0115	36.9300	-2	-314	38 
03487.126	0.0137	0.0256	0.4712	0.0000	0.0000	0.0000	3.9221	-0.3351	-178.0994	36.9200	-2	-316	37 
03487.206	0.0137	0.0254	0.4712	0.0000	0.0000	0.0000	3.8727	-0.4120	-178.1708	36.9600	-2	-315	36 
03487.330	0.0137	0.0254	0.4712	0.0000	0.0000	0.0000	3.8232	-0.4834	-178.2367	36.8800	-3	-315	35 
03487.419	0.0137	0.0251	0.4707	0.0000	0.0000	0.0000	3.7793	-0.5548	-178.3246	36.9200	-2	-314	35 
03487.525	0.0139	0.0254	0.4707	0.0000	0.0000	0.0000	3.7354	-0.6207	-178.3960	36.9300	-1	-318	34 
03487.603	0.0139	0.0254	0.4712	0.0000	0.0000	0.0000	3.6969	-0.6812	-178.4619	36.9300	-4	-313	33 
03487.712	0.0137	0.0254	0.4712	0.0000	0.0000	0.0000	3.6639	-0.7361	-178.5168	36.9600	-1	-314	37 
03487.824	0.0137	0.0251	0.4712	0.0000	0.0000	0.0000	3.6255	-0.7910	-178.5938	36.9100	0	-318	36 
03487.928	0.0137	0.0254	0.4714	0.0000	0.0000	0.0000	3.5925	-0.8405	-178.6707	36.9700	-1	-317	37 
03488.009	0.0139	0.0254	0.4712	0.0000	0.0000	0.0000	3.5651	-0.8899	-178.7256	36.9500	0	-317	36 
03488.117	0.0139	0.0251	0.4712	0.0000	0.0000	0.0000	3.5321	-0.9393	-178.7805	36.9700	-3	-314	37 
03488.277	0.0134	0.0249	0.4709	0.0000	0.0000	0.0000	3.5046	-0.9778	-178.8135	36.9100	-2	-315	35 
03488.352	0.0134	0.0249	0.4712	0.0000	0.0000	0.0000	3.4772	-1.0162	-178.8684	36.9400	-3	-313	38 
03488.409	0.0137	0.0254	0.4714	0.0000	0.0000	0.0000	3.4552	-1.0547	-178.8959	37.0000	-3	-315	36 
03488.521	0.0137	0.0254	0.4714	0.0000	0.0000	0.0000	3.4332	-1.0876	-178.9288	36.9400	-2	-317	36 
03488.609	0.0137	0.0251	0.4712	0.0000	0.0000	0.0000	3.4113	-1.1206	-178.9783	36.9200	0	-315	36 
03488.723	0.0142	0.0251	0.4712	0.0000	0.0000	0.0000	3.3893	-1.1536	-179.0277	36.8900	-1	-313	37 
03488.822	0.0142	0.0251	0.4712	0.0000	0.0000	0.0000	3.3673	-1.1865	-179.0387	36.9200	-3	-315	37 
03488.915	0.0139	0.0254	0.4712	0.0000	0.0000	0.0000	3.3508	-1.2195	-179.0717	36.9700	-2	-314	37 
03489.042	0.0137	0.0251	0.4709	0.0000	0.0000	0.0000	3.3344	-1.2415	-179.1101	36.9200	-1	-314	36 
03489.125	0.0137	0.0251	0.4709	0.0000	0.0000	0.0000	3.3179	-1.2689	-179.1376	36.9000	-1	-316	38 
03489.241	0.0137	0.0251	0.4709	0.0000	0.0000	0.0000	3.3014	-1.2909	-179.1595	36.9400	-1	-315	35 
03489.363	0.0137	0.0254	0.4709	0.0000	0.0000	0.0000	3.2904	-1.3129	-179.1705	36.9200	-4	-317	36 
03489.441	0.0134	0.0254	0.4714	0.0000	0.0000	0.0000	3.2794	-1.3293	-179.1595	36.9300	-6	-313	37 
03489.508	0.0137	0.0251	0.4712	0.0000	0.0000	0.0000	3.2629	-1.3458	-179.1541	36.8900	-3	-315	37 
03489.613	0.0139	0.0254	0.4709	0.0000	0.0000	0.0000	3.2520	-1.3678	-179.1705	36.9900	-3	-312	38 
03489.718	0.0142	0.0251	0.4712	0.0000	0.0000	0.0000	3.2410	-1.3843	-179.1650	36.9200	-4	-313	38 
03489.842	0.0142	0.0251	0.4712	0.0000	0.0000	0.0000	3.2300	-1.4063	-179.1760	36.9400	-3	-315	34 
03489.913	0.0142	0.0251	0.4709	0.0000	0.0000	0.0000	3.2245	-1.4227	-179.1925	36.8600	-2	-316	36 
03490.018	0.0139	0.0249	0.4712	0.0000	0.0000	0.0000	3.2135	-1.4392	-179.1980	36.9100	-5	-317	37 
03490.133	0.0142	0.0251	0.4712	0.0000	0.0000	0.0000	3.2025	-1.4557	-179.2035	36.9000	-2	-314	39 
03490.246	0.0142	0.0254	0.4709	0.0000	0.0000	0.0000	3.1915	-1.4667	-179.2090	36.9100	-5	-313	35 
03490.321	0.0137	0.0251	0.4707	0.0000	0.0000	0.0000	3.1860	-1.4832	-179.2035	36.9600	-2	-315	35 
03490.418	0.0137	0.0251	0.4709	0.0000	0.0000	0.0000	3.1750	-1.4941	-179.2145	36.9200	-4	-312	38 
03490.548	0.0139	0.0249	0.4709	0.0000	0.0000	0.0000	3.1696	-1.4996	-179.2145	36.9800	0	-314	37 
03490.625	0.0139	0.0251	0.4709	0.0000	0.0000	0.0000	3.1641	-1.5106	-179.2419	36.9600	-1	-313	39 
03490.719	0.0137	0.0254	0.4709	0.0000	0.0000	0.0000	3.1586	-1.5216	-179.2474	36.9100	-2	-314	38 
03490.827	0.0137	0.0254	0.4709	0.0000	0.0000	0.0000	3.1531	-1.5271	-179.2584	36.9500	0	-312	37 
03490.912	0.0137	0.0254	0.4712	0.0000	0.0000	0.0000	3.1476	-1.5381	-179.2859	37.0000	-3	-315	35 
03491.015	0.0137	0.0254	0.4709	0.0000	0.0000	0.0000	3.1421	-1.5436	-179.3079	36.9000	-2	-312	37 
03491.130	0.0139	0.0254	0.4709	0.0000	0.0000	0.0000	3.1421	-1.5546	-179.3134	36.9100	-3	-314	36 
03491.220	0.0142	0.0254	0.4709	0.0000	0.0000	0.0000	3.1366	-1.5601	-179.3134	36.9300	-2	-316	36 
03491.337	0.0139	0.0251	0.4712	0.0000	0.0000	0.0000	3.1311	-1.5710	-179.3134	36.9400	-1	-315	38 
03491.418	0.0139	0.0254	0.4709	0.0000	0.0000	0.0000	3.1256	-1.5765	-179.3188	36.9600	-3	-314	37 
03491.522	0.0139	0.0256	0.4707	0.0000	0.0000	0.0000	3.1256	-1.5820	-179.3353	36.9700	0	-315	38 
03491.660	0.0139	0.0256	0.4707	0.0000	0.0000	0.0000	3.1256	-1.5875	-179.3298	36.9300	-4	-315	39 
03491.714	0.0139	0.0251	0.4712	0.0000	0.0000	0.0000	3.1256	-1.5985	-179.3243	36.9200	-3	-315	39 
03491.831	0.0137	0.0251	0.4714	0.0000	0.0000	0.0000	3.1201	-1.5985	-179.3353	36.9200	0	-314	37 
03491.912	0.0137	0.0254	0.4712	0.0000	0.0000	0.0000	3.1146	-1.6040	-179.3518	36.8800	-2	-313	36 
03492.017	0.0137	0.0254	0.4709	0.0000	0.0000	0.0000	3.1146	-1.6040	-179.3793	36.9300	0	-315	35 
03492.168	0.0139	0.0254	0.4709	0.0000	0.0000	0.0000	3.1146	-1.6095	-179.3958	36.9700	-1	-316	38 
03492.238	0.0142	0.0254	0.4712	0.0000	0.0000	0.0000	3.1091	-1.6150	-179.3958	36.9500	-1	-313	36 
03492.318	0.0139	0.0254	0.4712	0.0000	0.0000	0.0000	3.1091	-1.6205	-179.3958	36.8700	-3	-312	38 
03492.497	0.0137	0.0254	0.4709	0.0000	0.0000	0.0000	3.1091	-1.6205	-179.4122	36.8800	-3	-312	35 
03492.516	0.0137	0.0251	0.4712	0.0000	0.0000	0.0000	3.1036	-1.6260	-179.4012	36.8800	-4	-314	38 
03492.623	0.0142	0.0251	0.4712	0.0000	0.0000	0.0000	3.1036	-1.6315	-179.3958	36.9400	-3	-313	37 
03492.717	0.0142	0.0251	0.4709	0.0000	0.0000	0.0000	3.0981	-1.6315	-179.3848	36.9400	-3	-313	35 
