Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
05087.661	0.0967	0.0332	0.9399	0.0000	0.0000	0.0000	2.0215	-5.8392	172.2546	35.9900	36	-292	-11 
05087.757	0.0972	0.0332	0.9395	0.0000	0.0000	0.0000	2.0215	-5.8392	172.2656	36.0200	37	-292	-12 
05087.867	0.0972	0.0332	0.9390	0.0000	0.0000	0.0000	2.0160	-5.8392	172.2546	36.0000	38	-290	-8 
05087.955	0.0962	0.0332	0.9395	0.0000	0.0000	0.0000	2.0160	-5.8392	172.2546	35.9600	36	-291	-8 
05088.064	0.0962	0.0327	0.9390	0.0000	0.0000	0.0000	2.0160	-5.8392	172.2546	35.9700	37	-292	-11 
05088.169	0.0962	0.0322	0.9395	0.0000	0.0000	0.0000	2.0160	-5.8447	172.2821	35.8600	37	-293	-8 
05088.253	0.0962	0.0317	0.9395	0.0000	0.0000	0.0000	2.0105	-5.8447	172.2876	35.9400	38	-294	-9 
05088.362	0.0967	0.0327	0.9399	0.0000	0.0000	0.0000	2.0105	-5.8447	172.3041	35.9800	36	-293	-9 
05088.473	0.0972	0.0332	0.9395	0.0000	0.0000	0.0000	2.0105	-5.8447	172.3206	36.0200	37	-293	-11 
05088.556	0.9263	-0.1299	0.9688	-0.0610	-0.7324	-0.4883	1.8292	-6.7676	172.3700	36.0100	35	-291	-10 
05088.662	2.2432	-0.3218	0.8521	0.4883	-3.7842	-2.5024	1.5051	-10.0745	172.5568	35.9900	40	-288	0 
05088.772	1.8149	-0.2275	0.5972	2.4414	8.6060	-1.6479	1.4282	-13.5077	172.7655	36.0100	53	-291	16 
05088.878	-0.0752	0.0884	0.0483	10.7422	40.3442	7.7515	2.0105	-13.9362	173.4961	35.9800	57	-297	38 
05088.956	-0.3975	0.1558	-0.0532	15.1367	48.2788	14.3433	4.4824	-4.9109	175.6110	35.9200	55	-307	53 
05089.077	-0.5737	0.6191	0.7451	6.5918	9.5215	26.7334	7.4432	2.0544	178.5333	35.9500	32	-304	34 
05089.360	-0.3867	0.2856	0.8735	-20.8130	-26.7944	21.3013	8.0420	2.3126	-179.1266	35.9800	39	-309	42 
05089.367	-0.4878	0.0684	0.5215	9.8877	0.3662	10.4980	6.4380	2.1808	-178.4399	36.0100	28	-319	54 
05089.385	-0.5327	0.3677	0.7461	21.5454	-8.1787	7.0801	9.0967	3.9111	-177.6215	35.8600	31	-303	27 
05089.456	-0.3550	0.0840	1.0327	-34.6680	-19.7754	-11.1084	8.9484	3.5156	-178.3795	35.9900	25	-301	30 
05089.636	-0.3237	0.0625	1.0366	-19.4092	-10.7422	0.2441	5.7568	2.9059	-179.5715	35.9100	20	-305	28 
05089.677	-0.2358	0.0825	0.9448	6.6528	0.6104	13.3667	5.3833	3.2355	-179.0057	35.9700	20	-306	32 
05089.772	-0.0273	0.0742	0.9263	5.7983	1.6479	7.8735	6.0754	3.5486	-178.1598	35.9900	19	-305	28 
05089.927	0.0815	0.0537	0.9365	0.1831	0.0610	-0.9155	6.2402	3.2410	-178.1708	35.9200	19	-307	31 
05089.960	0.0596	0.0518	0.9424	-0.8545	-0.2441	-1.6479	5.9985	2.8070	-178.5992	35.9500	15	-305	30 
05090.072	0.0293	0.0547	0.9434	-0.2441	-0.0610	-0.2441	5.7568	2.4939	-178.9398	35.9600	16	-308	32 
05090.175	0.0273	0.0557	0.9414	0.0610	0.0000	0.1221	5.6030	2.2522	-179.1815	35.9800	17	-311	31 
05090.303	0.0327	0.0562	0.9409	0.0610	0.0000	0.0610	5.4767	2.0160	-179.4342	36.0200	21	-310	33 
05090.364	0.0337	0.0557	0.9414	0.0000	0.0000	0.0000	5.3503	1.7853	-179.6484	35.9600	15	-309	31 
05090.472	0.0332	0.0557	0.9419	0.0000	0.0000	0.0000	5.2295	1.5656	-179.8407	36.0200	16	-307	27 
05090.624	0.0332	0.0557	0.9424	0.0000	0.0000	0.0000	5.1141	1.3623	179.9506	35.9400	17	-309	30 
05090.672	0.0332	0.0557	0.9414	0.0000	0.0000	0.0000	5.0098	1.1646	179.7638	35.9300	17	-305	34 
05090.763	0.0332	0.0552	0.9414	0.0000	0.0000	0.0000	4.9109	0.9833	179.5880	35.9800	17	-308	31 
05090.922	0.0332	0.0547	0.9414	0.0000	0.0000	0.0000	4.8120	0.8075	179.4122	35.9200	19	-306	31 
05090.957	0.0332	0.0547	0.9419	0.0000	0.0000	0.0000	4.7241	0.6482	179.2419	35.9300	18	-303	31 
05091.068	0.0332	0.0552	0.9409	0.0000	0.0000	0.0000	4.6362	0.4944	179.1046	35.9300	19	-307	32 
05091.164	0.0327	0.0547	0.9404	0.0000	0.0000	0.0000	4.5593	0.3516	178.9398	35.9600	22	-306	31 
05091.413	0.0322	0.0547	0.9409	0.0000	0.0000	0.0000	4.4824	0.2142	178.8190	35.9100	17	-307	33 
05091.548	0.0322	0.0547	0.9409	0.0000	0.0000	0.0000	4.4165	0.0879	178.7036	35.9300	21	-307	31 
05091.728	0.0322	0.0552	0.9409	0.0000	0.0000	0.0000	4.3506	-0.0220	178.5828	35.9600	16	-308	30 
05091.790	0.0327	0.0557	0.9409	0.0000	0.0000	0.0000	4.2902	-0.1373	178.4894	35.9100	17	-307	29 
05091.862	0.0327	0.0557	0.9414	0.0000	0.0000	0.0000	4.2352	-0.2417	178.3850	35.9600	18	-303	31 
05091.929	0.0327	0.0552	0.9419	0.0000	0.0000	0.0000	4.1858	-0.3461	178.2861	35.9300	19	-308	30 
05092.007	0.0322	0.0557	0.9414	0.0000	0.0000	0.0000	4.1364	-0.4395	178.1982	35.9700	17	-307	30 
05092.089	0.0327	0.0557	0.9414	0.0000	0.0000	0.0000	4.0869	-0.5273	178.1104	35.8900	17	-305	34 
05092.098	0.0327	0.0552	0.9419	0.0000	0.0000	0.0000	4.0485	-0.6097	178.0499	35.8900	20	-305	37 
05092.232	0.0327	0.0552	0.9419	0.0000	0.0000	0.0000	4.0045	-0.6921	177.9620	35.9300	18	-303	32 
05092.297	0.0327	0.0552	0.9419	0.0000	0.0000	0.0000	3.9661	-0.7690	177.9016	35.9600	17	-299	31 
05092.388	0.0327	0.0552	0.9414	0.0000	0.0000	0.0000	3.9276	-0.8350	177.8467	35.9100	17	-309	32 
05092.477	0.0332	0.0547	0.9419	0.0000	0.0000	0.0000	3.8947	-0.9064	177.7753	35.9100	19	-307	29 
05092.598	0.0327	0.0547	0.9414	0.0000	0.0000	0.0000	3.8562	-0.9668	177.7258	35.9900	14	-304	31 
05092.658	0.0327	0.0542	0.9414	0.0000	0.0000	0.0000	3.8232	-1.0272	177.6874	35.9800	16	-303	33
