Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
06183.295	0.0938	0.0313	0.9390	0.0000	0.0000	0.0000	1.8347	-5.6909	175.4132	33.2100	18	-300	-12 
06183.374	0.0942	0.0308	0.9390	0.0000	0.0000	0.0000	1.8347	-5.6909	175.4352	33.2500	21	-304	-12 
06183.479	0.0952	0.0308	0.9385	0.0000	0.0000	0.0000	1.8402	-5.6909	175.4352	33.2500	21	-301	-10 
06183.579	0.0952	0.0303	0.9390	-0.0610	0.0610	0.0000	1.8347	-5.6909	175.4352	33.2700	22	-303	-11 
06183.693	0.0942	0.0303	0.9395	0.0000	0.0000	-0.0610	1.8347	-5.6909	175.4352	33.3000	21	-301	-12 
06183.782	0.0942	0.0308	0.9385	0.0000	0.0000	0.0000	1.8347	-5.6909	175.4297	33.2000	22	-303	-10 
06183.888	0.0942	0.0308	0.9390	0.0000	0.0000	0.0000	1.8347	-5.6964	175.4407	33.2500	23	-301	-11 
06183.977	0.0942	0.0303	0.9385	0.0000	0.0610	0.0000	1.8402	-5.6964	175.4242	33.2200	24	-302	-11 
06184.100	0.0938	0.0303	0.9380	-0.0610	0.0610	0.0000	1.8347	-5.6909	175.4242	33.2000	22	-303	-10 
06184.197	0.0938	0.0308	0.9380	-0.0610	0.0610	0.0000	1.8347	-5.6854	175.4132	33.2300	22	-303	-11 
06184.283	0.0947	0.0308	0.9380	0.0000	0.0000	0.0000	1.8347	-5.6909	175.4297	33.2500	21	-300	-9 
06184.386	0.0947	0.0308	0.9385	0.0000	0.0000	0.0000	1.8347	-5.6909	175.4407	33.2000	20	-298	-9 
06184.480	0.0947	0.0303	0.9385	0.0000	0.0000	0.0000	1.8347	-5.6964	175.4462	33.2000	22	-299	-11 
06184.580	0.0947	0.0303	0.9380	0.0000	0.0000	0.0000	1.8402	-5.6964	175.4297	33.2200	22	-301	-12 
06184.674	0.0947	0.0313	0.9385	0.0000	0.0000	0.0000	1.8402	-5.7019	175.4407	33.2000	23	-302	-10 
06184.782	0.0942	0.0313	0.9390	0.0000	0.0000	0.0000	1.8457	-5.7019	175.4352	33.2500	21	-304	-11 
06184.875	0.0947	0.0303	0.9380	0.0000	0.0000	0.0000	1.8457	-5.7074	175.4626	33.2400	21	-302	-10 
06184.984	0.0952	0.0298	0.9375	0.0000	0.0610	0.0000	1.8457	-5.7074	175.4626	33.2200	23	-303	-11 
06185.074	0.3916	-0.0371	0.9800	0.0000	0.0000	0.0000	1.8073	-5.8502	175.4681	33.2200	20	-303	-9 
06185.175	1.5420	-0.2939	0.9355	0.3052	-2.2583	0.4883	1.3843	-8.0475	175.6934	33.2200	20	-298	-5 
06185.279	2.3608	-0.5542	0.6616	0.7935	-0.3052	3.6621	0.8185	-11.8268	176.4294	33.2500	26	-302	6 
06185.385	1.2031	-0.3013	0.3779	6.1646	18.5547	8.1177	0.4120	-14.3536	177.7972	33.2500	33	-311	29 
06185.485	-0.2866	0.1904	-0.0278	23.4375	46.8140	24.1699	2.9224	-11.2445	179.6704	33.2100	22	-328	50 
06185.573	-0.6475	0.5488	0.2607	29.4800	46.8140	44.7998	6.9598	-2.3181	-175.4956	33.2200	-9	-337	61 
06185.692	-0.2988	0.8950	1.0718	-10.2539	-16.7236	77.8198	10.8160	0.1593	-168.1293	33.2300	-31	-316	11 
06185.776	-0.3076	0.0298	0.9443	-71.2891	-29.7852	52.5513	6.7950	-2.7686	-162.5537	33.1800	-27	-338	48 
06185.876	-0.7197	0.0415	0.6455	53.8330	32.1045	19.6533	3.5651	0.4230	-161.2793	33.1600	-49	-360	113 
06185.983	-0.5601	0.5898	0.5781	161.6211	8.5449	30.0293	16.7871	4.3121	-159.3622	33.1800	-55	-365	173 
06186.070	-0.3174	0.6357	0.3740	175.5371	-12.8174	14.5264	36.3043	3.6090	-158.1372	33.3000	-62	-349	250 
06186.186	-0.1982	0.4341	0.1265	182.3730	3.0518	3.9063	55.3162	3.8562	-158.2416	33.2200	-65	-291	332 
06186.292	0.0850	0.6758	-0.7134	215.7593	17.3950	-0.4272	79.2059	4.2078	-156.6156	33.2500	-66	-241	378 
06186.374	0.0298	0.8291	-0.5732	150.6958	17.1509	-8.5449	100.1843	4.1199	-155.0171	33.2300	-78	-232	379 
