Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
05434.239	0.0957	0.0337	0.9380	0.0000	0.0000	0.0000	2.0050	-5.7568	173.3588	34.8900	32	-294	-9 
05434.341	0.0962	0.0327	0.9380	0.0000	0.0000	0.0000	2.0105	-5.7623	173.3478	34.9200	32	-294	-9 
05434.427	0.0962	0.0327	0.9390	0.0000	0.0000	0.0000	2.0050	-5.7678	173.3588	34.8400	30	-298	-11 
05434.530	0.0957	0.0322	0.9395	0.0000	0.0000	0.0000	2.0050	-5.7678	173.3588	34.8500	34	-296	-8 
05434.633	0.0957	0.0327	0.9390	0.0000	0.0000	0.0000	2.0050	-5.7678	173.3588	34.8500	33	-295	-6 
05434.735	0.0957	0.0327	0.9390	0.0000	0.0000	0.0000	2.0050	-5.7733	173.3643	34.8700	33	-295	-5 
05434.839	0.0957	0.0327	0.9390	0.0000	0.0000	0.0000	2.0050	-5.7733	173.3588	34.9100	35	-296	-8 
05434.940	0.0962	0.0332	0.9385	0.0000	0.0000	0.0000	2.0050	-5.7733	173.3643	34.9100	32	-297	-12 
05435.046	0.0962	0.0337	0.9385	0.0000	0.0000	0.0000	2.0050	-5.7788	173.3643	34.8600	34	-297	-12 
05435.128	0.0962	0.0337	0.9385	0.0000	0.0000	0.0000	2.0105	-5.7843	173.3752	34.8600	31	-298	-8 
05435.231	0.0952	0.0337	0.9385	0.0000	0.0000	0.0000	2.0105	-5.7843	173.4027	34.9100	32	-297	-12 
05435.334	0.0952	0.0332	0.9385	0.0000	0.0000	0.0000	2.0160	-5.7843	173.4137	34.8700	32	-299	-8 
05435.438	0.0947	0.0322	0.9390	0.0000	0.0000	0.0000	2.0105	-5.7843	173.4247	34.8300	33	-296	-11 
05435.540	0.0947	0.0322	0.9390	0.0000	0.0000	0.0000	2.0105	-5.7843	173.4247	34.8900	31	-297	-11 
05435.627	0.0942	0.0327	0.9390	0.0000	0.0000	0.0000	2.0050	-5.7843	173.4192	34.9100	32	-297	-6 
05435.735	0.4766	-0.0430	0.9946	0.0000	-0.0610	0.0000	1.9336	-6.1249	173.4192	34.8800	32	-299	-12 
05435.841	2.1533	-0.3574	0.8423	0.5493	-3.5400	3.1738	1.5656	-8.7451	173.7708	34.8700	32	-294	0 
05435.952	2.1426	-0.3843	0.7104	0.4272	0.8545	5.9204	1.1206	-12.4146	174.7540	34.9000	33	-296	11 
05436.029	0.3594	-0.0186	0.2520	2.0142	25.3296	4.4556	0.6482	-14.4031	175.9021	34.9200	47	-299	23 
05436.131	-0.2988	0.1597	-0.0127	3.3569	37.7197	3.9673	1.9940	-9.7339	176.6931	34.9200	46	-300	35 
