Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
05854.048	0.0923	0.0288	0.9390	0.0000	0.0610	0.0000	1.7688	-5.5865	175.7373	33.9500	23	-301	-10 
05854.151	0.0928	0.0288	0.9399	0.0000	0.0000	0.0000	1.7688	-5.5865	175.7318	34.0200	20	-302	-10 
05854.252	0.0923	0.0288	0.9399	0.0000	0.0000	0.0000	1.7688	-5.5865	175.7318	33.9700	21	-302	-8 
05854.345	0.0923	0.0288	0.9385	0.0000	0.0000	0.0000	1.7743	-5.5920	175.7208	34.0800	22	-304	-8 
05854.435	0.0928	0.0298	0.9380	0.0000	0.0000	0.0000	1.7743	-5.5920	175.7208	34.0500	21	-301	-10 
05854.540	0.0923	0.0293	0.9385	0.0000	0.0000	0.0000	1.7743	-5.5920	175.7318	34.0000	21	-300	-10 
05854.666	0.0918	0.0293	0.9385	0.0000	0.0000	0.0000	1.7743	-5.5920	175.7208	34.0500	22	-301	-8 
05854.746	0.9468	-0.1943	0.9819	-0.0610	-0.7935	0.0000	1.5106	-6.5698	175.7922	34.0700	17	-298	-6 
05854.850	2.1592	-0.4658	0.8423	0.3662	-3.6011	0.5493	0.9668	-9.8602	176.2317	34.0400	23	-299	0 
05854.938	1.6655	-0.3862	0.6108	2.3804	7.5073	4.6997	0.4449	-13.2440	177.1051	34.0400	30	-304	17 
05855.061	0.3481	-0.0479	0.2256	9.2773	24.6582	11.4136	0.3955	-14.3481	178.5553	34.0500	26	-315	31 
05855.133	-0.3672	0.2178	-0.0327	19.0430	35.8887	32.5317	3.2629	-6.7017	-178.3685	34.0400	9	-327	43 
05855.247	-0.3262	0.6030	0.4478	19.5313	24.5361	55.7251	7.0203	-0.5768	-172.6666	34.0200	-24	-322	28 
05855.351	-0.5303	0.3267	1.2759	-43.0298	-5.8594	56.2744	6.8335	-0.0659	-166.5253	33.9700	-17	-323	28 
05855.431	-0.7227	-0.0078	0.9209	-36.8652	12.9395	29.3579	2.6312	1.8402	-163.3447	34.0200	-39	-345	61 
05855.539	-0.4028	0.6665	0.7129	60.3027	-11.1084	26.4282	6.9983	4.1364	-161.2134	34.0700	-41	-337	49 
05855.652	-0.2500	0.6504	0.8428	20.9961	-29.3579	5.5542	12.8485	2.3071	-160.4718	34.0400	-36	-330	36 
05855.731	-0.2959	0.2031	1.0078	-44.6777	-9.7046	-18.0664	10.3162	1.5820	-162.8064	34.0700	-39	-328	33 
05855.834	-0.2466	0.1157	0.9810	-24.3530	0.0610	-4.6997	6.9653	2.1863	-164.3994	34.0600	-41	-330	31 
05855.940	-0.0254	0.0688	0.9346	4.2114	2.0752	5.9204	6.5094	2.6697	-164.4653	33.9800	-43	-329	32 
05856.051	0.0630	0.0527	0.9312	5.6152	0.4272	3.0518	6.8774	2.4609	-164.5258	34.0100	-41	-326	30 
05856.136	0.0542	0.0542	0.9390	0.5493	-0.3662	-0.6104	6.8774	2.0709	-164.9817	34.0200	-39	-327	29 
05856.238	0.0332	0.0581	0.9414	-0.7935	-0.1831	-0.7324	6.6248	1.8018	-165.5145	34.0800	-44	-326	28 
05856.342	0.0259	0.0591	0.9414	-0.3052	0.0610	-0.0610	6.3721	1.6150	-165.9650	33.9700	-43	-326	30 
05856.457	0.0288	0.0586	0.9404	0.0000	0.0610	0.0610	6.1908	1.4392	-166.3550	34.0300	-44	-326	29 
05856.532	0.0317	0.0581	0.9404	0.0610	0.0000	0.0000	6.0315	1.2579	-166.7175	34.0500	-41	-329	30 
05856.635	0.0317	0.0581	0.9404	0.0000	0.0000	0.0000	5.8777	1.0767	-167.0856	34.0400	-40	-328	31 
05856.738	0.0313	0.0586	0.9409	0.0000	0.0000	0.0000	5.7349	0.9119	-167.4261	34.0400	-41	-327	32 
05856.862	0.0313	0.0591	0.9404	0.0000	0.0000	0.0000	5.6030	0.7526	-167.7557	33.9900	-40	-330	29 
05856.931	0.0317	0.0586	0.9399	0.0000	0.0610	0.0000	5.4767	0.6097	-168.0743	34.0200	-39	-327	33 
05857.036	0.0317	0.0581	0.9404	0.0000	0.0610	0.0000	5.3558	0.4724	-168.3710	34.0200	-41	-329	29 
05857.139	0.0313	0.0591	0.9404	0.0000	0.0000	0.0000	5.2460	0.3351	-168.6292	34.0700	-41	-328	33 
05857.266	0.0308	0.0586	0.9399	0.0000	0.0000	0.0000	5.1471	0.2087	-168.8818	34.0500	-42	-328	28 
05857.331	0.0308	0.0576	0.9404	0.0000	0.0000	0.0000	5.0482	0.0934	-169.1071	33.9900	-42	-329	30 
05857.444	0.0308	0.0581	0.9409	0.0000	0.0000	0.0000	4.9548	-0.0165	-169.3213	34.0500	-42	-329	31 
05857.532	0.0313	0.0581	0.9409	0.0000	0.0000	0.0000	4.8669	-0.1208	-169.5026	34.0200	-42	-331	33 
05857.639	0.0313	0.0576	0.9404	0.0000	0.0000	0.0000	4.7845	-0.2252	-169.7058	34.0300	-39	-327	31 
05857.745	0.0317	0.0581	0.9399	0.0000	0.0000	0.0000	4.7131	-0.3186	-169.9146	33.9800	-37	-325	31 
05857.831	0.0313	0.0586	0.9404	0.0000	0.0000	0.0000	4.6417	-0.4065	-170.1123	34.1000	-40	-327	30 
05857.938	0.0313	0.0586	0.9409	0.0000	0.0000	0.0000	4.5758	-0.4944	-170.2826	33.9500	-40	-326	30 
05858.042	0.0313	0.0586	0.9409	0.0000	0.0000	0.0000	4.5154	-0.5768	-170.4529	33.9900	-40	-328	29 
05858.136	0.0313	0.0586	0.9409	0.0000	0.0000	0.0000	4.4550	-0.6482	-170.6177	34.0500	-41	-328	28 
05858.234	0.0313	0.0586	0.9409	0.0000	0.0000	0.0000	4.4000	-0.7196	-170.7605	34.0400	-38	-332	31
