Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
06325.475	0.0967	0.0361	0.9385	0.0000	0.0000	0.0000	2.1753	-5.8228	172.0624	32.4900	37	-295	-11 
06325.572	0.0962	0.0356	0.9385	-0.0610	0.0610	0.0000	2.1753	-5.8173	172.0844	32.4700	36	-291	-13 
06325.674	0.0967	0.0356	0.9390	-0.0610	0.0610	-0.0610	2.1698	-5.8173	172.0953	32.5600	36	-294	-13 
06325.764	0.0967	0.0366	0.9390	-0.0610	0.0610	-0.0610	2.1643	-5.8118	172.0844	32.5100	42	-295	-12 
06325.877	0.0967	0.0366	0.9390	-0.0610	0.0610	0.0000	2.1643	-5.8118	172.0679	32.5700	39	-292	-13 
06325.970	0.0967	0.0366	0.9385	0.0000	0.0000	0.0000	2.1643	-5.8063	172.0844	32.5500	36	-291	-12 
06326.073	0.0967	0.0366	0.9380	0.0000	0.0000	0.0000	2.1698	-5.8118	172.0953	32.5200	40	-291	-11 
06326.175	0.0962	0.0361	0.9390	0.0000	0.0000	0.0000	2.1698	-5.8173	172.0898	32.5300	42	-290	-10 
06326.277	0.0962	0.0361	0.9385	-0.0610	0.0000	0.0000	2.1698	-5.8173	172.0734	32.5100	38	-293	-12 
06326.367	0.0962	0.0366	0.9385	-0.0610	0.0610	0.0000	2.1643	-5.8173	172.0734	32.5300	38	-291	-11 
06326.467	0.0967	0.0366	0.9385	0.0000	0.0610	0.0000	2.1643	-5.8118	172.0844	32.5100	40	-295	-11 
06326.575	0.3506	0.0015	0.9790	0.0000	0.0000	-0.0610	2.1204	-6.1414	172.0459	32.4800	38	-293	-11 
06326.683	2.0776	-0.2832	0.8813	0.4883	-3.5400	0.4883	1.8073	-8.9154	172.2986	32.4900	38	-290	-2 
06326.760	2.3730	-0.3564	0.6953	0.8545	-1.0376	1.7700	1.5216	-12.6837	172.9193	32.5200	48	-291	10 
