Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
05348.565	0.0952	0.0332	0.9380	0.0000	0.0000	0.0000	1.9995	-5.7678	173.4521	35.1500	30	-295	-7 
05348.652	0.0962	0.0337	0.9385	0.0000	0.0000	0.0000	1.9995	-5.7733	173.4741	35.1400	31	-296	-8 
05348.755	0.0957	0.0327	0.9385	0.0000	0.0000	0.0000	1.9995	-5.7733	173.4741	35.1500	32	-296	-9 
05348.860	0.0947	0.0322	0.9390	0.0000	0.0000	0.0000	1.9995	-5.7788	173.4961	35.1000	31	-296	-6 
05348.964	0.0947	0.0327	0.9390	0.0000	0.0000	0.0000	1.9995	-5.7733	173.5016	35.1100	33	-298	-6 
05349.072	0.0952	0.0327	0.9390	0.0000	0.0000	0.0000	1.9995	-5.7788	173.5071	35.1700	29	-296	-10 
05349.149	0.0952	0.0327	0.9390	0.0000	0.0000	0.0000	1.9995	-5.7788	173.5126	35.1100	34	-298	-11 
05349.255	1.1655	-0.1851	0.9624	-0.3662	-1.4038	-1.8311	1.7029	-7.1082	173.5126	35.1200	32	-294	-9 
05349.359	2.2637	-0.3652	0.8208	0.0000	-3.9673	-6.8359	1.3239	-10.5908	173.4192	35.1200	40	-291	2 
05349.482	1.4248	-0.1250	0.5791	2.2583	11.1694	-3.8452	1.3458	-13.7439	173.1885	35.0800	48	-292	17 
05349.552	0.1875	0.0786	0.1909	5.7983	33.2031	5.9204	2.0764	-13.7769	173.5510	35.1400	56	-297	38 
05349.657	-0.3569	0.1514	-0.0513	10.2539	49.3774	17.4561	3.9990	-4.3506	176.0449	35.0500	53	-308	54 
05349.756	-0.3994	0.4229	0.4678	10.5591	31.4331	28.0762	6.5039	2.7960	179.3188	35.1000	26	-307	30 
05349.878	-0.4683	0.2969	0.9370	-13.8550	-31.3110	24.7803	7.4158	2.8015	-177.8302	35.0900	30	-309	44 
05349.950	-0.5420	0.1328	0.6738	-2.8076	-16.7847	5.4321	6.8115	1.9775	-177.2314	35.0900	23	-318	47 
05350.052	-0.3882	0.4224	0.8638	12.4512	-18.2495	-10.6201	9.2560	2.3566	-177.9016	35.0800	36	-303	33 
05350.216	-0.3955	0.1748	1.1050	-18.0054	-19.2871	-30.7007	8.9154	1.8402	179.1431	35.1100	50	-292	32 
05350.271	-0.3574	0.0498	1.0127	-13.6719	-0.4883	-37.0483	6.6193	2.6422	174.8749	35.0900	55	-285	28 
05350.358	-0.2139	0.0337	0.9351	-1.0986	3.2349	-24.2920	5.6854	3.9386	171.6888	35.2000	54	-287	29 
05350.497	0.0547	0.0493	0.9224	3.1738	0.6104	-1.7700	5.7074	4.0979	170.6342	35.1300	54	-287	30 
05350.689	0.0850	0.0586	0.9360	1.2817	-0.4272	3.4180	5.7843	3.5596	170.7330	35.1000	56	-286	31 
05350.704	0.0444	0.0596	0.9438	-0.3662	-0.2441	1.3428	5.6689	3.0707	170.8923	35.1600	53	-288	29 
05350.778	0.0298	0.0576	0.9429	-0.3052	0.0000	-0.1221	5.5042	2.7576	170.8484	35.1000	54	-282	30 
05350.872	0.0313	0.0566	0.9404	0.0000	0.0610	-0.3662	5.3723	2.5049	170.7056	35.1200	54	-288	34 
05350.955	0.0356	0.0571	0.9390	0.0000	0.0000	0.0000	5.2570	2.2467	170.6506	35.1200	51	-285	30 
05351.065	0.0361	0.0576	0.9395	0.0000	0.0000	0.0000	5.1526	1.9885	170.5792	35.1100	55	-282	31 
05351.154	0.0356	0.0571	0.9409	0.0000	0.0000	0.0000	5.0537	1.7468	170.5188	35.1000	55	-284	29 
05351.394	0.0356	0.0566	0.9414	0.0000	0.0000	0.0000	4.9603	1.5216	170.4529	35.1600	53	-280	32 
05351.418	0.0361	0.0566	0.9419	0.0000	0.0000	0.0000	4.8669	1.3074	170.3870	35.1600	53	-285	30 
05351.452	0.0361	0.0566	0.9414	0.0000	0.0000	0.0000	4.7845	1.1041	170.3320	35.1000	53	-282	33 
05351.566	0.0352	0.0566	0.9409	0.0000	0.0000	0.0000	4.7021	0.9119	170.2936	35.0700	53	-286	33 
05351.699	0.0347	0.0571	0.9409	0.0000	0.0000	0.0000	4.6307	0.7361	170.2386	35.1500	53	-283	28 
05351.782	0.0347	0.0576	0.9409	0.0000	0.0000	0.0000	4.5648	0.5713	170.1782	35.1000	53	-286	31 
05351.893	0.0356	0.0571	0.9404	0.0000	0.0000	0.0000	4.4989	0.4120	170.1617	35.0800	52	-285	29 
05351.956	0.0352	0.0566	0.9414	0.0000	0.0000	0.0000	4.4385	0.2637	170.1233	35.1100	54	-283	32 
05352.103	0.0342	0.0566	0.9419	0.0000	0.0000	0.0000	4.3781	0.1263	170.0903	35.1100	55	-289	31 
05352.168	0.0352	0.0566	0.9414	0.0000	0.0000	0.0000	4.3231	0.0000	170.0684	35.1500	52	-289	32 
05352.274	0.0356	0.0562	0.9409	0.0000	0.0000	0.0000	4.2737	-0.1263	170.0409	35.1600	54	-285	27 
05352.352	0.0356	0.0566	0.9404	0.0000	0.0000	0.0000	4.2242	-0.2417	169.9969	35.1500	56	-288	29 
05352.520	0.0356	0.0571	0.9409	0.0000	0.0000	0.0000	4.1748	-0.3516	169.9475	35.1600	55	-287	31 
05352.552	0.0352	0.0571	0.9409	0.0000	0.0000	0.0000	4.1364	-0.4559	169.9310	35.0700	53	-284	31 
05352.664	0.0352	0.0571	0.9414	0.0000	0.0000	0.0000	4.0979	-0.5548	169.9200	35.1100	53	-289	31
