Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
05296.464	0.0952	0.0322	0.9395	0.0000	0.0000	0.0000	1.9171	-5.8228	173.3698	35.2200	34	-296	-10 
05296.589	0.0957	0.0313	0.9385	0.0000	0.0000	0.0000	1.9171	-5.8228	173.3588	35.2100	34	-296	-11 
05296.673	0.0962	0.0313	0.9385	0.0000	0.0000	0.0000	1.9171	-5.8228	173.3698	35.3000	34	-294	-10 
05296.775	0.0962	0.0322	0.9385	0.0000	0.0000	0.0000	1.9171	-5.8228	173.3588	35.2800	32	-294	-9 
05296.860	0.0957	0.0308	0.9385	0.0000	0.0000	0.0000	1.9171	-5.8228	173.3533	35.2800	33	-298	-11 
05296.964	0.0957	0.0308	0.9395	0.0000	0.0000	0.0000	1.9171	-5.8228	173.3368	35.3000	35	-297	-8 
05297.074	0.0957	0.0322	0.9395	0.0000	0.0000	0.0000	1.9171	-5.8228	173.3368	35.2900	34	-299	-8 
05297.159	0.0957	0.0317	0.9390	0.0000	0.0000	0.0000	1.9171	-5.8228	173.3313	35.2900	34	-295	-9 
05297.264	0.6152	-0.0845	0.9912	0.0000	-0.1221	-0.1221	1.7908	-6.4545	173.3258	35.2900	35	-295	-5 
05297.365	2.3115	-0.3711	0.8203	0.7935	-3.7231	-0.4272	1.4392	-9.4812	173.6169	35.2800	33	-292	0 
05297.472	2.0825	-0.3403	0.6465	1.4038	2.5024	1.4648	1.1700	-13.1012	174.1882	35.2500	43	-294	14 
05297.564	0.2231	0.0127	0.1748	9.7656	30.6396	9.0332	1.2634	-14.4910	175.2649	35.2800	46	-300	31 
05297.669	-0.3394	0.1606	-0.0283	16.8457	42.5415	16.8457	3.4332	-7.6904	177.3798	35.2100	36	-312	51 
05297.802	-0.4116	0.5244	0.4761	16.1133	25.7568	39.8560	6.7072	-0.0714	-178.6871	35.1800	9	-318	38 
05297.875	-0.6050	0.4741	1.0562	-19.4702	-10.0708	44.0063	7.8223	1.7194	-174.1827	35.2800	14	-316	30 
05297.997	-0.5386	0.1250	0.7017	-19.0430	-1.3428	26.0620	4.8779	2.0050	-171.4691	35.2300	-7	-330	52 
05298.067	-0.5474	0.3550	0.7612	21.3013	-7.0190	26.7944	6.4215	3.4167	-169.1235	35.2800	-13	-324	36 
05298.170	-0.3657	0.2964	1.0034	-7.2021	-22.5830	6.8970	8.5529	2.4225	-167.8986	35.2600	-14	-324	32 
05298.274	-0.2734	0.1953	1.0127	-17.8223	-9.3384	-3.6621	7.4323	1.7413	-168.5577	35.3100	-14	-320	32 
05298.359	-0.2583	0.1943	0.9463	-5.4321	2.9907	-2.2583	6.5314	2.4939	-169.4037	35.2100	-15	-323	30 
05298.467	-0.0981	0.1206	0.9297	1.1597	2.5635	0.1831	6.5863	3.2355	-169.8926	35.2900	-13	-319	30 
05298.560	0.0674	0.0410	0.9360	1.7090	-0.1831	0.6104	6.6357	3.0707	-170.2496	35.3100	-17	-321	30 
