Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
05525.397	0.0967	0.0342	0.9380	0.0000	0.0000	0.0000	2.0325	-5.7349	173.1720	34.6600	31	-296	-11 
05525.500	0.0962	0.0337	0.9385	-0.0610	0.0610	0.0000	2.0325	-5.7349	173.1775	34.5900	34	-294	-8 
05525.602	0.0952	0.0317	0.9390	-0.0610	0.0610	0.0000	2.0270	-5.7349	173.1720	34.6200	32	-294	-7 
05525.709	0.0957	0.0313	0.9385	0.0000	0.0000	0.0000	2.0215	-5.7349	173.1720	34.6500	35	-297	-8 
05525.812	0.0957	0.0322	0.9385	0.0000	0.0000	0.0000	2.0160	-5.7404	173.1555	34.7100	36	-296	-8 
05525.898	0.0952	0.0322	0.9390	0.0000	0.0000	0.0000	2.0105	-5.7404	173.1390	34.6600	34	-296	-6 
05525.999	0.0947	0.0327	0.9385	0.0000	0.0000	0.0000	2.0105	-5.7404	173.1555	34.7000	35	-294	-7 
05526.101	0.0947	0.0332	0.9390	0.0000	0.0000	0.0000	2.0105	-5.7404	173.1445	34.6700	34	-297	-12 
05526.203	0.1470	0.0229	0.9727	0.0000	0.0000	0.0000	1.9995	-5.7843	173.1335	34.6500	35	-298	-7 
05526.311	1.6772	-0.2568	0.9121	0.4883	-2.7466	1.0986	1.7139	-7.4213	173.2928	34.6600	26	-293	-3 
05526.404	2.4312	-0.4023	0.7759	0.7324	-2.9297	2.8687	1.3568	-11.1072	173.9575	34.6600	34	-293	5 
05526.499	0.9297	-0.1436	0.4219	2.9907	18.7988	6.1646	0.9833	-14.0350	174.9902	34.7200	45	-295	20 
05526.607	-0.1094	0.1011	0.0654	8.1177	37.2925	8.7891	1.7194	-12.3871	176.1768	34.6800	49	-306	36 
05526.740	-0.5029	0.3447	0.1475	13.2446	42.2363	20.0195	3.9551	-3.3618	178.5718	34.6700	42	-314	52 
05526.812	-0.6719	0.4907	0.8398	6.1035	10.8643	31.2500	6.8555	2.0325	-178.1213	34.6400	24	-303	28 
05526.897	-0.7065	0.1729	0.9424	-22.4609	-17.0898	13.7329	6.7456	2.3785	-175.8087	34.6700	30	-310	44 
05527.002	-0.5415	0.2749	0.6348	4.6997	-2.7466	0.7935	6.0535	3.4717	-175.5945	34.6600	22	-311	36 
05527.099	-0.3613	0.1309	0.9150	2.8687	-26.4893	-12.0850	7.9156	3.9441	-176.3910	34.6200	26	-302	29 
05527.232	-0.3232	0.0654	1.0483	-15.1367	-20.6909	-20.0195	7.1136	2.5928	-178.7421	34.6700	29	-302	31 
05527.313	-0.3965	0.0815	0.9736	-4.5166	1.3428	-11.0474	5.7843	2.8894	179.1101	34.6800	31	-303	32 
