Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
06261.295	0.0977	0.0381	0.9380	-0.0610	0.0000	0.0000	2.1973	-5.8557	171.9910	32.9200	37	-293	-7 
06261.367	0.0972	0.0371	0.9385	-0.0610	0.0000	0.0000	2.1973	-5.8612	171.9855	32.9200	40	-292	-10 
06261.474	0.0977	0.0371	0.9385	-0.0610	0.0610	-0.0610	2.1973	-5.8557	171.9745	32.9400	39	-294	-10 
06261.577	0.0977	0.0371	0.9385	0.0000	0.0000	-0.0610	2.1973	-5.8557	171.9745	32.9100	38	-293	-11 
06261.704	0.0972	0.0371	0.9390	0.0000	0.0000	0.0000	2.2028	-5.8612	171.9745	32.9200	39	-293	-10 
06261.774	0.0972	0.0376	0.9385	0.0000	0.0000	0.0000	2.2028	-5.8612	171.9800	32.9500	40	-292	-10 
06261.868	0.0972	0.0376	0.9390	0.0000	0.0000	0.0000	2.2083	-5.8667	171.9800	32.9000	37	-292	-13 
06261.971	0.0972	0.0366	0.9385	0.0000	0.0000	0.0000	2.2083	-5.8667	171.9855	32.9600	40	-294	-11 
06262.064	0.0972	0.0366	0.9375	-0.0610	0.0000	0.0000	2.2083	-5.8722	171.9910	32.9400	38	-291	-9 
06262.174	0.0967	0.0356	0.9380	-0.0610	0.0610	0.0000	2.2028	-5.8667	171.9745	32.9100	40	-294	-12 
06262.268	0.0972	0.0361	0.9390	-0.0610	0.0610	0.0000	2.1973	-5.8612	171.9910	32.9200	40	-295	-9 
06262.372	0.0977	0.0361	0.9385	0.0000	0.0610	0.0000	2.1973	-5.8612	171.9965	32.9600	38	-294	-10 
06262.473	0.0972	0.0366	0.9380	0.0000	0.0000	0.0000	2.1973	-5.8667	172.0020	32.9100	39	-293	-11 
06262.578	0.0967	0.0366	0.9380	0.0000	0.0000	0.0000	2.2028	-5.8667	172.0074	32.9100	39	-293	-11 
06262.668	0.0967	0.0366	0.9385	-0.0610	0.0610	0.0000	2.1973	-5.8612	172.0239	32.9300	36	-291	-14 
06262.770	0.0972	0.0371	0.9385	0.0000	0.0610	0.0000	2.1973	-5.8612	172.0404	32.9300	39	-290	-11 
06262.873	0.8213	-0.0967	0.9741	-0.1221	-0.4272	-0.4272	2.1259	-6.3116	172.0404	32.9100	38	-287	-11 
06262.984	2.1133	-0.2686	0.8784	0.4883	-3.4180	-2.1973	1.8127	-9.1901	172.1503	32.9600	39	-288	-4 
06263.063	1.9434	-0.2407	0.5889	1.5259	6.1035	-2.2583	1.7029	-12.8760	172.3315	32.9600	52	-288	12 
